"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.169029,5176.11,10561.1,0.002129,0.00073425,0.724412,143,68,216.696,74.6465,1000,0.101852
"Pteronotus_parnellii",0.115294,4169.76,12567.7,0.00212375,0.000738,0.568888,54,33,79.544,27.6538,500,0.0379412
"Desmodus_rotundus",0.607464,2899.12,1667.65,0.00212275,0.00074175,0.548424,30,19,50.1601,17.4224,500,0.0236955
"Phyllostomus_discolor",Inf,42.2857,0,0.00212125,0.00074525,0.769893,22,10,21.6944,7.592,100,0.0105002
"Phyllostomus_hastatus",0.0160066,42.2359,918.793,0.00212375,0.0007395,0.411777,13,11,17.2508,6.01064,100,0.00928619
"Artibeus_jamaicensis",0.0413519,621.135,5237.89,0.00212425,0.00074075,0.631842,40,22,40.4285,14.0494,250,0.0190481
"Sturnira_hondurensis",0.395876,4271.69,3763.09,0.0021255,0.00074125,0.823345,38,16,40.2939,13.9687,250,0.0201251
"Molossus_molossus",0.219757,7302.29,11561.5,0.00212325,0.00073875,0.782114,72,32,100.521,34.9416,1000,0.0474196
"Miniopterus_natalensis",0.297576,22632.6,26451.3,0.002122,0.000738,0.564621,57,35,94.1063,32.6264,2500,0.0463988
"Eptesicus_fuscus",0.665853,11003.4,5759.02,0.00212125,0.00073925,0.693945,20,10,22.1114,7.67204,1000,0.0105823
"Pipistrellus_kuhlii",0.640226,575.208,314.705,0.00211975,0.0007425,0.934453,83,31,79.2255,27.6507,100,0.0381086
"Myotis_brandtii",0.307302,17602.6,19850.9,0.0021245,0.00073625,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.247654,7186.29,10043.3,0.00212575,0.00073575,1.15496,10,3,8.83696,3.06189,1000,0.00485649
"Myotis_davidii",0.334652,4112.15,4300.88,0.0021185,0.0007415,0.524044,15,10,18.6982,6.53246,500,0.00980151
"Myotis_myotis",0.150814,1207.18,2791.14,0.00212075,0.0007395,1.04691,6,2,11.0193,3.8454,250,0.0061503
"Hipposideros_armiger",0.433657,39764.4,31469.8,0.0021285,0.0007305,0.803218,28,12,69.5943,23.9569,5000,0.0332282
"Rhinolophus_ferrumequinum",0.299507,42167.3,48729,0.00212575,0.00073575,0.863708,15,6,25.0089,8.64017,5000,0.0122756
"Rhinolophus_sinicus",0.335241,43037.7,44381.9,0.0021275,0.0007355,0.542708,11,7,23.4068,8.08377,5000,0.0132901
"Rousettus_aegyptiacus",0.269085,4197.27,5361.81,0.0021295,0.000732,0.576019,25,15,45.4685,15.7144,500,0.0218276
"Pteropus_alecto",0.400176,25449.2,22063.7,0.002125,0.00073725,0.138776,2,5,5.45913,1.894,2500,0.00268413
"Pteropus_giganteus",0.253216,27713,38026.7,0.00212475,0.00073825,0.347099,3,3,2.76858,0.960973,2500,0.00140844
"Pteropus_vampyrus",0.263547,25090.1,32999.2,0.0021255,0.00073675,0.231251,2,3,2.97302,1.03127,2500,0.0014088
