"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.180359,6235.9,12153.3,0.002123,0.00074625,0.603588,148,86,215.736,75.6658,1000,0.101852
"Pteronotus_parnellii",0.361467,4439.98,4324.45,0.0021225,0.00074725,0.718645,51,25,77.3792,27.2589,500,0.0379412
"Desmodus_rotundus",0.41381,5392.78,4597.46,0.002121,0.00074825,0.459529,26,20,48.5599,17.1652,500,0.0236955
"Phyllostomus_discolor",1.39559,914.561,233.038,0.0021175,0.000753,2.04349,23,4,21.9242,7.79163,100,0.0105002
"Phyllostomus_hastatus",0.330938,792.995,848.48,0.0021195,0.0007505,1.06176,15,5,19.3311,6.84167,100,0.00928619
"Artibeus_jamaicensis",0.521645,2277.34,1539.53,0.002119,0.00074725,0.55788,30,19,40.0715,14.1582,250,0.0190481
"Sturnira_hondurensis",0.130777,791.516,2142.84,0.00211625,0.00074925,0.560908,38,24,42.4146,15.0257,250,0.0201251
"Molossus_molossus",0.238171,7801.92,11417,0.0021275,0.0007415,0.590681,61,36,100.68,35.0968,1000,0.0474196
"Miniopterus_natalensis",0.361163,26848.3,26419.8,0.00211875,0.000753,0.769687,59,27,94.1616,33.1665,2500,0.0463988
"Eptesicus_fuscus",0.278821,9377.94,11871.4,0.0021235,0.0007495,0.741061,21,10,22.3148,7.8746,1000,0.0105823
"Pipistrellus_kuhlii",0.347843,1261.16,1282.26,0.00211925,0.0007495,1.39141,102,26,80.5317,28.5624,100,0.0381086
"Myotis_brandtii",0.404687,15886,13953.9,0.00211975,0.0007535,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.195337,10234.8,18624.5,0.0021205,0.00075375,0.887916,5,2,9.39812,3.33789,1000,0.00485649
"Myotis_davidii",0.135804,4387.35,11426.9,0.00212325,0.000751,1.41864,20,5,19.8844,7.05222,500,0.00980151
"Myotis_myotis",0.414578,3346.62,2855.28,0.0021225,0.00075075,1.13269,16,5,12.3733,4.37974,250,0.0061503
"Hipposideros_armiger",0.33457,43407.9,45758.2,0.00211875,0.00074725,0.391705,20,18,69.8022,24.6077,5000,0.0332282
"Rhinolophus_ferrumequinum",0.464625,50597.1,38471.9,0.002118,0.00074825,0.587244,15,9,25.6699,9.04469,5000,0.0122756
"Rhinolophus_sinicus",0.46204,55329.3,42182.4,0.0021185,0.00074625,0.99735,17,6,25.7863,9.07692,5000,0.0132901
"Rousettus_aegyptiacus",0.378062,4537.5,4175.77,0.0021305,0.00074125,0.893778,36,14,46.1756,16.0497,500,0.0218276
"Pteropus_alecto",0.299075,18639,21743.6,0.00212675,0.000742,0.697464,4,2,5.33878,1.8618,2500,0.00268413
"Pteropus_giganteus",0.343516,23112.4,23463.2,0.002127,0.00074175,0.232088,2,3,2.47674,0.862233,2500,0.00140844
"Pteropus_vampyrus",0.271039,21230.3,27306.7,0.002127,0.0007415,0.348122,2,2,2.34694,0.817021,2500,0.0014088
