"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.217532,0.00233445,0.00375483,2124.25,743.25,0.284987,68,83,208661000,72582800,1000,0.101852
"Pteronotus_parnellii",0.056067,0.000642592,0.00400136,2126.75,742.5,0.324724,28,30,80734200,28088900,500,0.0379412
"Desmodus_rotundus",0.290158,0.00215643,0.00259322,2126.5,742,0.252582,13,18,49234400,17218700,500,0.0236955
"Phyllostomus_discolor",0.144757,0.000296286,0.000710747,2131.75,740.25,0.991829,20,7,19683900,6833090,100,0.0105002
"Phyllostomus_hastatus",0.0158865,3.2424e-05,0.000709218,2131,740.5,0.424683,11,9,18980800,6595230,100,0.00928619
"Artibeus_jamaicensis",1.06234,0.00153422,0.000504007,2129,743,0.571491,18,11,39778300,13892300,250,0.0190481
"Sturnira_hondurensis",0.10882,0.00053471,0.00171538,2129.75,743.5,0.594959,17,10,38809500,13582400,250,0.0201251
"Molossus_molossus",0.112775,0.00121944,0.00374549,2132,738.5,0.227542,25,38,96880400,33507400,1000,0.0474196
"Miniopterus_natalensis",0.123396,0.00161465,0.00452939,2132.75,738.25,0.284748,23,28,97884400,33931600,2500,0.0463988
"Eptesicus_fuscus",0.0959091,0.00101799,0.00368332,2131,739.5,0.277953,4,5,10385100,3608240,1000,0.0105823
"Pipistrellus_kuhlii",0.148682,0.000529578,0.00123163,2134.25,738,0.399014,46,40,79348500,27531400,100,0.0381086
"Myotis_brandtii",0.12356,0.00249623,0.00698129,2132.75,737,0,0,1,2047440,707520,5000,0.00352876
"Myotis_lucifugus",0.397138,0.00093583,0.000814298,2132.75,737,0.345563,1,1,6016490,2079080,1000,0.00485649
"Myotis_davidii",3.25827,0.000808589,8.60488e-05,2132,739.25,0.138651,4,10,20503700,7107150,500,0.00980151
"Myotis_myotis",0.0970228,0.000242983,0.000865122,2133.5,737,0.230741,4,6,10860100,3758810,250,0.0061503
"Hipposideros_armiger",0.0883852,0.00272824,0.0106746,2129,736.25,0.317561,11,12,70300600,24354300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.112008,0.00544899,0.016818,2128.25,735.75,0.207573,3,5,18397400,6364660,5000,0.0122756
"Rhinolophus_sinicus",0.119803,0.00330787,0.00954639,2128,735.75,0.345876,6,6,27331400,9453290,5000,0.0132901
"Rousettus_aegyptiacus",0.154126,0.00080851,0.0018251,2125.5,739.5,0.402246,22,19,45544300,15821800,500,0.0218276
"Pteropus_alecto",0.152569,0.00292006,0.00664374,2126.75,738.25,0.346769,1,1,829724,287723,2500,0.00268413
"Pteropus_giganteus",0.212087,0.00216495,0.00354582,2126.75,738.75,0,0,1,1722670,597982,2500,0.00140844
"Pteropus_vampyrus",0.26675,0.00259867,0.00338398,2126.75,738.75,0,0,1,2698850,936839,2500,0.0014088
