"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.304834,0.00131199,0.00150786,2126.5,745,0.310918,55,62,216441000,75860100,1000,0.101852
"Pteronotus_parnellii",0.777948,0.0012363,0.000555531,2124.75,742.75,0.282944,17,21,80066800,27984900,500,0.0379412
"Desmodus_rotundus",0.0795626,0.000738602,0.00325068,2124,743.75,0.387407,20,18,48618000,16951500,500,0.0236955
"Phyllostomus_discolor",Inf,0.000501404,0,2131,741.25,0.92712,24,9,21285400,7400300,100,0.0105002
"Phyllostomus_hastatus",0.838437,0.000461365,0.000190601,2133.5,739,0.92367,16,6,18604600,6444200,100,0.00928619
"Artibeus_jamaicensis",0.585258,0.000512156,0.00030417,2128.25,739.75,1.1618,30,9,40005700,13943600,250,0.0190481
"Sturnira_hondurensis",0.0407134,0.000171853,0.00147493,2123.5,742,0.349058,25,25,41899100,14625200,250,0.0201251
"Molossus_molossus",0.11643,0.00102334,0.00304048,2130.5,737,0.331372,41,43,100770000,35021400,1000,0.0474196
"Miniopterus_natalensis",0.149986,0.00386857,0.00891304,2132.75,737,0.208516,21,35,98820000,34342500,2500,0.0463988
"Eptesicus_fuscus",0.167682,0.00113569,0.0023551,2131,741,0.347392,10,10,20636300,7168890,1000,0.0105823
"Pipistrellus_kuhlii",0.177266,9.4864e-05,0.000187177,2130,745,0.402312,45,39,80574200,28093800,100,0.0381086
"Myotis_brandtii",0.212428,0.00367182,0.00604388,2128.5,744.25,0,0,1,4689090,1639580,5000,0.00352876
"Myotis_lucifugus",0.383789,0.00342674,0.00312096,2128.5,744,0.1747,1,2,8736330,3052470,1000,0.00485649
"Myotis_davidii",0.140613,0.00120656,0.00299993,2129.5,744.5,1.04954,6,2,18440300,6451250,500,0.00980151
"Myotis_myotis",0.292458,0.000657836,0.000786303,2129.75,744.5,0.437075,5,4,12351700,4318880,250,0.0061503
"Hipposideros_armiger",0.147275,0.00333906,0.00791773,2129,743.5,0.129387,10,27,69466100,24267700,5000,0.0332282
"Rhinolophus_ferrumequinum",0.123439,0.00288499,0.0081595,2127.5,742.75,0.174692,4,8,21378100,7469180,5000,0.0122756
"Rhinolophus_sinicus",0.0964578,0.00265837,0.0096502,2125.5,744.25,0.218388,5,8,27910500,9752540,5000,0.0132901
"Rousettus_aegyptiacus",0.318656,0.0017876,0.00196321,2130.25,745.5,0.419038,18,15,46390900,16199600,500,0.0218276
"Pteropus_alecto",0.11622,0.00306873,0.00919387,2131,742,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.110115,0.00305571,0.00966356,2130.75,742,0,0,2,1672800,582470,2500,0.00140844
"Pteropus_vampyrus",0.155372,0.0034286,0.00768451,2130.75,742,0,0,2,2439830,849590,2500,0.0014088
