"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.168643,0.00185696,0.00381172,2129.75,737.25,0.300227,60,69,216958000,74907400,1000,0.101852
"Pteronotus_parnellii",0.131152,0.00135575,0.00357964,2129.75,737.5,0.551344,35,22,79631100,27596900,500,0.0379412
"Desmodus_rotundus",0.0578374,0.000562531,0.00339755,2126.25,742.75,0.440404,19,15,44748200,15558400,500,0.0236955
"Phyllostomus_discolor",0.398262,4.53669e-05,4.00395e-05,2124.5,746.75,0.467756,12,9,22058800,7738610,100,0.0105002
"Phyllostomus_hastatus",Inf,9.60321e-05,0,2124.5,744.75,0.2103,6,10,19257300,6749680,100,0.00928619
"Artibeus_jamaicensis",0.310072,0.000493696,0.000556455,2125.25,742.75,0.768438,22,10,39321200,13734500,250,0.0190481
"Sturnira_hondurensis",0.648226,0.000396894,0.000213527,2125.5,741.25,0.797349,16,7,41433100,14453500,250,0.0201251
"Molossus_molossus",0.902811,0.00148049,0.000564687,2133,734.5,0.278338,29,36,96963100,33503000,1000,0.0474196
"Miniopterus_natalensis",0.113713,0.00289601,0.0088504,2127.25,739.25,0.254775,25,34,92725800,32129000,2500,0.0463988
"Eptesicus_fuscus",0.13796,0.000948501,0.00239134,2128.25,740.25,0.321358,12,13,22439400,7812000,1000,0.0105823
"Pipistrellus_kuhlii",0.0495995,0.000173972,0.0012089,2134,735.5,0.565726,54,33,80546500,27846700,100,0.0381086
"Myotis_brandtii",0.188055,0.0025946,0.00478748,2129,738.75,0.11563,1,3,5853080,2030370,5000,0.00352876
"Myotis_lucifugus",0.476389,0.00102436,0.000744765,2130,737.75,0.260012,3,4,6752620,2341020,1000,0.00485649
"Myotis_davidii",0.145315,0.000802416,0.00191432,2129.5,738.25,0.24268,7,10,14607500,5064200,500,0.00980151
"Myotis_myotis",0.202792,0.000207453,0.000354886,2129.5,738.75,0.230983,4,6,12527500,4340460,250,0.0061503
"Hipposideros_armiger",0.182788,0.00343335,0.00651854,2128,738.5,0.245311,17,24,65212300,22584400,5000,0.0332282
"Rhinolophus_ferrumequinum",0.229616,0.00342914,0.00516637,2128.25,736.25,0.34537,9,9,25436600,8785030,5000,0.0122756
"Rhinolophus_sinicus",0.162493,0.00227587,0.00484253,2128,735.75,0.251465,8,11,27898700,9646360,5000,0.0132901
"Rousettus_aegyptiacus",0.117241,0.00084933,0.00251668,2126.5,738.75,0.267038,20,26,46351200,16090800,500,0.0218276
"Pteropus_alecto",0.193017,0.00236184,0.00422674,2130,735.75,0.690958,2,1,4355850,1504860,2500,0.00268413
"Pteropus_giganteus",0.18249,0.00149089,0.00281847,2130.5,735,Inf,2,0,44735.2,15450.8,2500,0.00140844
"Pteropus_vampyrus",0.190384,0.00233912,0.00423867,2130.5,735,Inf,2,0,80949.5,27958.5,2500,0.0014088
