"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.156289,0.00133343,0.00296123,2127.75,738.5,0.2848,57,69,209139000,72102100,1000,0.101852
"Pteronotus_parnellii",0.255386,0.000677548,0.000917411,2126.25,735.25,0.403007,35,30,78910300,27258300,500,0.0379412
"Desmodus_rotundus",0.224851,0.00071131,0.00108937,2131.5,734,0.396342,15,13,49301400,16934900,500,0.0236955
"Phyllostomus_discolor",0.242226,0.000385052,0.000543726,2133.5,729.75,0.428535,10,8,21893500,7505690,100,0.0105002
"Phyllostomus_hastatus",Inf,0.000173523,0,2130.25,733.25,0.8033,14,6,19556500,6732730,100,0.00928619
"Artibeus_jamaicensis",0.339476,0.00033237,0.000336569,2133,733.25,0.620017,18,10,37970000,13078900,250,0.0190481
"Sturnira_hondurensis",0.268211,0.00014304,0.00018489,2128.75,738,0.45371,21,16,42457000,14676700,250,0.0201251
"Molossus_molossus",0.122469,0.00217978,0.00609262,2135.5,731,0.193355,22,39,100954000,34603600,1000,0.0474196
"Miniopterus_natalensis",0.120841,0.0034877,0.00992953,2133.5,734,0.260432,25,33,97999600,33689300,2500,0.0463988
"Eptesicus_fuscus",0.261746,0.00268747,0.0035127,2133.75,730,0.308843,9,10,16320000,5600330,1000,0.0105823
"Pipistrellus_kuhlii",0.405363,0.000275118,0.000234563,2131.75,736.75,0.893358,44,17,80820600,27896100,100,0.0381086
"Myotis_brandtii",0.131438,0.002553,0.00668483,2132,733.75,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.0806612,0.000498364,0.00212931,2131.25,734.5,0.550893,8,5,10210900,3515680,1000,0.00485649
"Myotis_davidii",0.203646,0.0007045,0.00118804,2131.5,732,0.229397,6,9,20259000,6971040,500,0.00980151
"Myotis_myotis",0.704179,0.000374702,0.000182798,2132.25,732.5,0.860043,5,2,12887500,4433520,250,0.0061503
"Hipposideros_armiger",0.105872,0.00323138,0.0104661,2132.5,731.25,0.342225,17,17,70357700,24078200,5000,0.0332282
"Rhinolophus_ferrumequinum",0.173483,0.00434077,0.00858618,2129.5,730.75,0.205614,9,15,24861100,8519640,5000,0.0122756
"Rhinolophus_sinicus",0.216402,0.00362812,0.00573143,2131.75,728.75,0.192495,9,16,20471400,7005600,5000,0.0132901
"Rousettus_aegyptiacus",0.259075,0.000604298,0.000804167,2129,734,0.663042,27,14,45777200,15738200,500,0.0218276
"Pteropus_alecto",0.113541,0.00292942,0.00884197,2134.5,731.5,0.17135,1,2,2486260,852044,2500,0.00268413
"Pteropus_giganteus",0.0725923,0.00188276,0.00888839,2134.5,731.5,0.171341,1,2,539942,185029,2500,0.00140844
"Pteropus_vampyrus",0.0861571,0.00181195,0.00720732,2134.5,731.5,0.114261,1,3,1867250,640062,2500,0.0014088
