"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.134795,0.00257421,0.00665031,2125,740,0.310847,68,76,206599000,71775900,1000,0.101852
"Pteronotus_parnellii",0.0724291,0.000343691,0.00163747,2128.5,734.5,0.478075,47,34,79848100,27614800,500,0.0379412
"Desmodus_rotundus",0.577206,0.000562272,0.000340583,2122.25,742,0.751005,28,13,50061000,17455300,500,0.0236955
"Phyllostomus_discolor",3.20583,0.000124134,1.35044e-05,2123.25,740.5,0.610838,7,4,22277900,7776110,100,0.0105002
"Phyllostomus_hastatus",1.81404,0.000417164,8.04291e-05,2122.25,742.25,0.640742,11,6,16598400,5801080,100,0.00928619
"Artibeus_jamaicensis",1.48629,0.000452258,0.000105532,2125.75,737.25,0.663263,21,11,37467800,13017200,250,0.0190481
"Sturnira_hondurensis",0.212983,0.000332651,0.000545274,2122.5,741,0.596841,24,14,42223100,14700300,250,0.0201251
"Molossus_molossus",0.17713,0.00253955,0.00494406,2129.25,734.25,0.323101,28,30,90840700,31447200,1000,0.0474196
"Miniopterus_natalensis",0.14281,0.00174777,0.00426143,2124.5,739.75,0.322205,26,28,97340400,33776100,2500,0.0463988
"Eptesicus_fuscus",0.115319,0.00119669,0.00358247,2130.5,735.5,0.062864,2,11,21307600,7367120,1000,0.0105823
"Pipistrellus_kuhlii",5.79988,0.000886728,5.32212e-05,2126.5,740.25,0.520386,54,36,80529000,27937400,100,0.0381086
"Myotis_brandtii",0.173397,0.00300327,0.00601123,2130,739.25,1.03964,3,1,6104630,2115540,5000,0.00352876
"Myotis_lucifugus",0.234537,0.00178412,0.00263617,2131.75,738.75,Inf,7,0,9753140,3383140,1000,0.00485649
"Myotis_davidii",0.242738,0.00129833,0.00184686,2132.25,736.25,0.307387,8,9,20762200,7179790,500,0.00980151
"Myotis_myotis",0.199003,0.000419326,0.000731325,2129.25,739,0.763694,11,5,13038400,4526050,250,0.0061503
"Hipposideros_armiger",0.134481,0.00447082,0.0115761,2123.75,739.5,0.260099,15,20,64998400,22541300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.146621,0.00279633,0.00660239,2126.75,736.25,0.403616,7,6,25294500,8750810,5000,0.0122756
"Rhinolophus_sinicus",0.140463,0.00348925,0.00860156,2127,736.5,0.34597,4,4,18270400,6321030,5000,0.0132901
"Rousettus_aegyptiacus",0.413396,0.00027884,0.000231455,2131.75,731.5,0.403439,20,17,46355300,15896300,500,0.0218276
"Pteropus_alecto",0.213419,0.00226899,0.00366288,2129,733.5,0.689126,4,2,4698220,1618830,2500,0.00268413
"Pteropus_giganteus",0.141283,0.0024949,0.00608057,2128.75,733,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.193874,0.0032919,0.00584664,2128.75,733,0.688667,2,1,1123980,387024,2500,0.0014088
