"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.384751,0.00164564,0.00144825,2136,723.25,0.259868,67,88,214266000,73132900,1000,0.101852
"Pteronotus_parnellii",0.392409,0.00134238,0.00118405,2130,737.25,0.391547,34,30,79020700,27300300,500,0.0379412
"Desmodus_rotundus",0.276487,0.00183439,0.00230183,2125,737.25,0.607714,21,12,49532500,17200900,500,0.0236955
"Phyllostomus_discolor",Inf,0.000112249,0,2130.5,735.75,0.38824,9,8,22119200,7633390,100,0.0105002
"Phyllostomus_hastatus",2.94124,0.000231186,2.71018e-05,2129.5,734.25,1.61019,14,3,19431800,6704760,100,0.00928619
"Artibeus_jamaicensis",0.150094,0.000810385,0.00187867,2126,739.75,0.475033,15,11,39146500,13637000,250,0.0190481
"Sturnira_hondurensis",0.341224,0.000113435,0.000115955,2122.25,740.25,0.562657,21,13,40220300,14009200,250,0.0201251
"Molossus_molossus",0.631132,0.00283779,0.00155411,2126.5,735,0.409748,32,27,97748200,33794000,1000,0.0474196
"Miniopterus_natalensis",0.203199,0.00298696,0.00505087,2134,733.25,0.262079,19,25,90208200,31107500,2500,0.0463988
"Eptesicus_fuscus",0.103689,0.000943802,0.00312166,2130.75,730.75,0.294224,12,14,22043800,7566790,1000,0.0105823
"Pipistrellus_kuhlii",0.11614,0.000162696,0.000483833,2130.25,735.75,0.343366,46,46,77279400,26535100,100,0.0381086
"Myotis_brandtii",0.253231,0.00194971,0.0026517,2129.75,733.5,0.229814,2,3,6901950,2379250,5000,0.00352876
"Myotis_lucifugus",0.250764,0.00210027,0.00288687,2129.5,734,0.0689388,1,5,9812740,3382390,1000,0.00485649
"Myotis_davidii",0.280329,0.00139153,0.00171722,2128.25,736.25,0.288185,5,6,19720500,6819800,500,0.00980151
"Myotis_myotis",0.124848,0.000715165,0.00197738,2128.5,734.75,0.48418,7,5,12780500,4420040,250,0.0061503
"Hipposideros_armiger",0.119266,0.00267914,0.0076916,2131.25,729.75,0.469543,26,19,70352400,24139900,5000,0.0332282
"Rhinolophus_ferrumequinum",0.18821,0.00362914,0.00661523,2130.75,731,0.457354,8,6,23712100,8133620,5000,0.0122756
"Rhinolophus_sinicus",0.181697,0.00266039,0.00502263,2131,731,0.53874,11,7,28253000,9686110,5000,0.0132901
"Rousettus_aegyptiacus",0.319489,0.000615114,0.000665201,2129.5,735.75,0.641354,26,14,44878700,15498600,500,0.0218276
"Pteropus_alecto",0.139738,0.00152796,0.00377969,2128.5,735.75,0.691016,2,1,4432060,1531310,2500,0.00268413
"Pteropus_giganteus",0.1198,0.00284043,0.00819188,2128.75,735.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.184517,0.00227041,0.00425329,2128.5,735.75,0.345508,1,1,1230420,425119,2500,0.0014088
