"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.127094,0.0022286,0.00610849,2124.25,740,0.228714,56,85,212906000,73911200,1000,0.101852
"Pteronotus_parnellii",0.255229,0.00139693,0.00187564,2128,729.25,0.445121,31,24,80304600,27673700,500,0.0379412
"Desmodus_rotundus",0.105335,0.000371607,0.00121367,2127.75,732,0.284342,19,23,49713500,17111500,500,0.0236955
"Phyllostomus_discolor",Inf,0.000618045,0,2129.75,732.25,0.472468,11,8,21393000,7350930,100,0.0105002
"Phyllostomus_hastatus",0.176818,0.000406776,0.000789795,2130,731.25,0.490654,10,7,19408800,6666110,100,0.00928619
"Artibeus_jamaicensis",4.07178,0.000577215,4.87966e-05,2128,732.5,0.905723,29,11,38568100,13250100,250,0.0190481
"Sturnira_hondurensis",0.603669,0.000665813,0.000379137,2128,731.5,0.572597,30,18,40621800,13955900,250,0.0201251
"Molossus_molossus",0.0885588,0.00100297,0.00394601,2121,739,0.406075,34,29,94625700,32774400,1000,0.0474196
"Miniopterus_natalensis",0.226803,0.003095,0.0046925,2128,731.75,0.191461,20,36,90219200,31092100,2500,0.0463988
"Eptesicus_fuscus",0.0462228,0.000759572,0.00569567,2122.75,735.75,0.346447,9,9,11198300,3879620,1000,0.0105823
"Pipistrellus_kuhlii",0.102351,0.000145044,0.000489543,2125.5,734.25,0.577741,50,30,80045000,27747200,100,0.0381086
"Myotis_brandtii",0.195505,0.00375363,0.0066477,2124.25,735.5,0,0,1,4618120,1598980,5000,0.00352876
"Myotis_lucifugus",0.243333,0.000977662,0.00139431,2123,736.75,0.346425,4,4,10112000,3503050,1000,0.00485649
"Myotis_davidii",0.297492,0.000960071,0.0011164,2123.25,734.5,0.642718,13,7,20178300,6983280,500,0.00980151
"Myotis_myotis",6.17483,0.000484653,2.71421e-05,2124,734.5,0.623163,9,5,11947100,4136090,250,0.0061503
"Hipposideros_armiger",0.127393,0.00176996,0.00479358,2125.25,733.25,0.398241,15,13,66031500,22790300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.14418,0.0033133,0.00789569,2129.75,731.75,0.344042,11,11,24116800,8297180,5000,0.0122756
"Rhinolophus_sinicus",0.116439,0.00391575,0.0115997,2127.25,733.75,0.267878,7,9,25441500,8762400,5000,0.0132901
"Rousettus_aegyptiacus",0.614452,0.00091554,0.000511006,2130.75,730.75,0.171795,9,18,45017100,15467400,500,0.0218276
"Pteropus_alecto",0.162754,0.00199105,0.00422117,2126.5,733.75,0,0,1,3917010,1351570,2500,0.00268413
"Pteropus_giganteus",0.0913344,0.00266573,0.010072,2126.25,733.75,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.154607,0.00293249,0.00653947,2126.75,733.25,0,0,3,2942730,1015510,2500,0.0014088
