"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.12357,0.0011129,0.00309677,2131.75,733,0.309283,64,71,216039000,74125400,1000,0.101852
"Pteronotus_parnellii",0.181456,0.000747916,0.00141208,2133,730.75,0.341299,30,30,80568200,27497900,500,0.0379412
"Desmodus_rotundus",1.12269,0.00139465,0.000429305,2128.25,735.5,0.391206,25,22,48573800,16722100,500,0.0236955
"Phyllostomus_discolor",0,0,0.000440408,2133.25,730.25,0.52844,17,11,20293200,6938900,100,0.0105002
"Phyllostomus_hastatus",0.618507,0.0010974,0.00060721,2135.25,730.75,0.734333,15,7,16971200,5815840,100,0.00928619
"Artibeus_jamaicensis",0.103079,0.000342988,0.00115342,2123.25,736,0.473772,22,16,40115500,13822300,250,0.0190481
"Sturnira_hondurensis",0.321164,0.000677274,0.000722645,2131,730.25,0.47391,29,21,42147700,14464100,250,0.0201251
"Molossus_molossus",1.01633,0.00302079,0.00102367,2129,733.25,0.296368,31,36,96604300,33248200,1000,0.0474196
"Miniopterus_natalensis",0.316687,0.00272594,0.00296016,2130,732.5,0.216463,17,27,98787800,33962600,2500,0.0463988
"Eptesicus_fuscus",0.111851,0.00169291,0.00521265,2130.5,733.75,0.160535,7,15,21481500,7389740,1000,0.0105823
"Pipistrellus_kuhlii",0.203745,7.65003e-05,0.000129725,2130.25,736,0.552064,48,30,79939100,27582200,100,0.0381086
"Myotis_brandtii",0.0980808,0.00148708,0.00519854,2132,731,0,0,1,2512080,861118,5000,0.00352876
"Myotis_lucifugus",0.113976,0.0013029,0.00391497,2133,730.5,0.171326,3,6,6700820,2296050,1000,0.00485649
"Myotis_davidii",0.162746,0.000957714,0.00201122,2133.75,729.25,0.546715,8,5,20589200,7035250,500,0.00980151
"Myotis_myotis",0.546595,0.00068054,0.000428855,2129.5,733.5,0.599622,7,4,12035500,4123870,250,0.0061503
"Hipposideros_armiger",0.136948,0.00289366,0.00718419,2135.25,726,0.266599,18,23,70259500,23934300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0835359,0.00459949,0.0188441,2131.5,729.5,0.238932,7,10,20079800,6853890,5000,0.0122756
"Rhinolophus_sinicus",0.232247,0.00300259,0.00439727,2135.25,726.25,0.247968,8,11,28341600,9663230,5000,0.0132901
"Rousettus_aegyptiacus",0.574146,0.00183932,0.0011045,2127.5,733.5,0.321156,14,15,46418700,15972500,500,0.0218276
"Pteropus_alecto",0.0852705,0.00254163,0.010234,2130.5,731.5,0.34332,1,1,939624,322592,2500,0.00268413
"Pteropus_giganteus",0.0772578,0.00236122,0.0104949,2130.25,731.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.0986242,0.00288636,0.0100497,2130.25,731.5,NA,NA,NA,NA,NA,2500,0.0014088
