"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.0869221,0.00086512,0.00349691,2123.25,746,0.424618,78,64,215605000,75117600,1000,0.101852
"Pteronotus_parnellii",0.133806,0.000781168,0.00205137,2124.5,746.5,0.423857,34,28,78758500,27491300,500,0.0379412
"Desmodus_rotundus",0.138173,0.000811248,0.00204835,2128.25,742.5,0.395035,17,15,49785100,17353100,500,0.0236955
"Phyllostomus_discolor",0.0601448,4.68933e-06,2.69732e-05,2132.5,737.75,0.621387,9,5,21694100,7489120,100,0.0105002
"Phyllostomus_hastatus",3.08642,0.000121837,1.36008e-05,2134,735.25,0.590905,12,7,19189200,6614430,100,0.00928619
"Artibeus_jamaicensis",1.09574,0.000626893,0.000199086,2128,740.5,0.637715,22,12,40394900,14051200,250,0.0190481
"Sturnira_hondurensis",0.247144,0.000652716,0.000921846,2126.5,742.25,0.373463,15,14,42334400,14756300,250,0.0201251
"Molossus_molossus",0.132885,0.000698803,0.00182787,2127.5,739.5,0.267839,34,44,100997000,35007100,1000,0.0474196
"Miniopterus_natalensis",0.161517,0.00213186,0.00455058,2135.5,736.25,0.322257,27,29,87842700,30404800,2500,0.0463988
"Eptesicus_fuscus",0.17108,0.00104258,0.00210141,2131.5,735,0.633945,11,6,19694800,6810220,1000,0.0105823
"Pipistrellus_kuhlii",0.433234,0.00021577,0.000171538,2134,735,0.441706,37,29,80854000,27991800,100,0.0381086
"Myotis_brandtii",0.174934,0.00245496,0.00487748,2127,739.25,0,0,2,7109730,2472980,5000,0.00352876
"Myotis_lucifugus",0.253952,0.0012159,0.00166632,2127,740.25,1.0435,6,2,8485730,2951620,1000,0.00485649
"Myotis_davidii",0.125707,0.00067363,0.00187077,2124,741.5,1.74477,10,2,16858700,5882890,500,0.00980151
"Myotis_myotis",0.144995,0.00107029,0.00257607,2124,741.25,0.348987,3,3,11407400,3981050,250,0.0061503
"Hipposideros_armiger",0.165317,0.00484527,0.0100914,2133.25,734.5,0.3936,16,14,64646200,22264200,5000,0.0332282
"Rhinolophus_ferrumequinum",0.108798,0.00339249,0.0106843,2137.75,732.5,0.314528,11,12,25797500,8851700,5000,0.0122756
"Rhinolophus_sinicus",0.117412,0.00188427,0.00549332,2137.75,731.75,0.342818,13,13,28105200,9634990,5000,0.0132901
"Rousettus_aegyptiacus",0.350482,0.000605149,0.000606885,2125.25,747,0.382053,24,22,46104100,16146400,500,0.0218276
"Pteropus_alecto",0.0680453,0.00139308,0.00712642,2128.75,741,0.348174,4,4,4787140,1666760,2500,0.00268413
"Pteropus_giganteus",0.15468,0.00293113,0.00659622,2128.75,741,Inf,1,0,625706,217854,2500,0.00140844
"Pteropus_vampyrus",0.151558,0.00279562,0.00642237,2128.25,741,NA,NA,NA,NA,NA,2500,0.0014088
