"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.11462,0.00143603,0.00434677,2130,739,0.24342,56,80,214609000,74628600,1000,0.101852
"Pteronotus_parnellii",0.178651,0.00128514,0.0025145,2127.75,743.75,0.335398,28,29,75199300,26122500,500,0.0379412
"Desmodus_rotundus",0.142184,0.00189304,0.00459323,2137,737.25,0.659319,21,11,48236500,16658800,500,0.0236955
"Phyllostomus_discolor",0.0284204,2.78952e-05,0.000338352,2136.5,736.5,0.443829,9,7,19200600,6628060,100,0.0105002
"Phyllostomus_hastatus",0.0249547,9.32388e-06,0.000129286,2134.25,738.5,0.614706,16,9,18579600,6424310,100,0.00928619
"Artibeus_jamaicensis",0.166011,0.000709108,0.00148919,2129,742.25,0.479897,22,16,38886400,13572000,250,0.0190481
"Sturnira_hondurensis",0.15848,0.000228136,0.000500207,2132.5,741,0.286029,14,17,41275900,14336000,250,0.0201251
"Molossus_molossus",0.0917046,0.000677647,0.00255755,2133,738.25,0.285095,28,34,100301000,34723000,1000,0.0474196
"Miniopterus_natalensis",0.233358,0.00344453,0.00512432,2133.75,740.75,0.333468,25,26,97019600,33647100,2500,0.0463988
"Eptesicus_fuscus",0.251045,0.00154201,0.00212389,2136.5,738.75,0.346067,8,8,21544600,7455870,1000,0.0105823
"Pipistrellus_kuhlii",1.39148,0.000211639,5.30242e-05,2131.25,743,1.25351,65,18,80684200,28007600,100,0.0381086
"Myotis_brandtii",0.106016,0.00147706,0.00484336,2133,741.5,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.220339,0.00120993,0.00190741,2133.25,741,1.39062,4,1,6185320,2150350,1000,0.00485649
"Myotis_davidii",0.753431,0.00107345,0.000495398,2133.25,741.75,0.564973,13,8,19201300,6675820,500,0.00980151
"Myotis_myotis",0.228116,0.00119368,0.00181973,2132.25,741.5,0.486681,7,5,5240590,1821780,250,0.0061503
"Hipposideros_armiger",0.103853,0.00328237,0.0110366,2127.75,743,0.24768,17,24,59119200,20671900,5000,0.0332282
"Rhinolophus_ferrumequinum",0.134846,0.00198121,0.00513873,2126.5,743.75,0.279588,12,15,22376000,7820080,5000,0.0122756
"Rhinolophus_sinicus",0.125587,0.00289652,0.00804303,2127,741.75,0.31762,10,11,27647900,9659650,5000,0.0132901
"Rousettus_aegyptiacus",0.0848743,0.0003605,0.00147198,2130.25,738.25,0.427429,21,17,43781900,15149100,500,0.0218276
"Pteropus_alecto",0.317316,0.00268979,0.00293955,2131.75,739.25,Inf,1,0,4217100,1461250,2500,0.00268413
"Pteropus_giganteus",0.126942,0.00139385,0.00381468,2130.75,740.25,Inf,1,0,1304170,452727,2500,0.00140844
"Pteropus_vampyrus",0.226121,0.001625,0.00249665,2130.75,740.25,Inf,1,0,1723980,598458,2500,0.0014088
