"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.124936,0.00176848,0.00489132,2127.75,735.25,0.348978,67,66,214748000,73823600,1000,0.101852
"Pteronotus_parnellii",0.219035,0.000838173,0.0013065,2133,728.25,0.293795,25,29,72053100,24555800,500,0.0379412
"Desmodus_rotundus",0.219686,0.0023384,0.00365474,2129,731,0.418997,22,18,47712000,16356400,500,0.0236955
"Phyllostomus_discolor",Inf,0.000261847,0,2129.25,735.75,0.388297,9,8,21317700,7357850,100,0.0105002
"Phyllostomus_hastatus",0.0830295,0.000588536,0.00245549,2127.5,737,0.266224,10,13,18936600,6553790,100,0.00928619
"Artibeus_jamaicensis",0.298609,0.000453304,0.000520541,2134,731.75,0.838104,22,9,40357600,13837000,250,0.0190481
"Sturnira_hondurensis",0.402667,0.000820161,0.000698612,2131.25,731,0.600378,21,12,42515600,14585900,250,0.0201251
"Molossus_molossus",0.424814,0.00206792,0.00166636,2132.5,730,0.292412,29,34,97822500,33536300,1000,0.0474196
"Miniopterus_natalensis",0.116331,0.00206432,0.0061256,2128.5,734.75,0.232797,21,31,93356400,32082200,2500,0.0463988
"Eptesicus_fuscus",0.179686,0.0024718,0.00471167,2133.5,730.75,0.549238,8,5,11525200,3956300,1000,0.0105823
"Pipistrellus_kuhlii",0.130981,0.000292562,0.000767186,2129,731.25,0.674724,53,27,75064600,25801700,100,0.0381086
"Myotis_brandtii",0.158057,0.00290444,0.00631209,2131.75,732.25,Inf,1,0,5769870,1980120,5000,0.00352876
"Myotis_lucifugus",0.260322,0.0022248,0.00294303,2130.75,733.75,0.0573157,1,6,9574100,3292480,1000,0.00485649
"Myotis_davidii",0.210116,0.00145353,0.00237235,2134.5,732,0.41177,6,5,20489700,7030860,500,0.00980151
"Myotis_myotis",0.346098,0.000774833,0.000769462,2130.5,732.25,0.573348,10,6,11024500,3792530,250,0.0061503
"Hipposideros_armiger",0.104118,0.00332047,0.0108107,2138,724.75,0.232078,15,22,63118300,21484300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.17648,0.00314098,0.00605419,2135.75,726.5,0.302953,8,9,17995100,6133130,5000,0.0122756
"Rhinolophus_sinicus",0.0978419,0.00176968,0.00615611,2135.25,726.75,0.255509,6,8,28312100,9645340,5000,0.0132901
"Rousettus_aegyptiacus",0.138871,0.000681947,0.00169608,2129.5,735.5,0.43029,20,16,45780500,15759100,500,0.0218276
"Pteropus_alecto",0.200889,0.00249862,0.0042616,2132.75,730.75,0.137273,2,5,4705880,1614970,2500,0.00268413
"Pteropus_giganteus",0.100329,0.00257362,0.00881439,2131,732.25,0.343893,1,1,2678350,921067,2500,0.00140844
"Pteropus_vampyrus",0.118101,0.00184369,0.0053649,2130.75,732.25,0.343895,2,2,946048,325341,2500,0.0014088
