"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.419828,0.0016348,0.00135706,2120.5,739,0.261004,59,79,215442000,75292600,1000,0.101852
"Pteronotus_parnellii",0.422341,0.00037957,0.000314184,2117.5,740.25,0.361734,31,30,80220400,28082400,500,0.0379412
"Desmodus_rotundus",0.0804586,0.000854824,0.00373877,2113.5,743.75,0.25371,13,18,48266200,16955500,500,0.0236955
"Phyllostomus_discolor",Inf,0.000522399,0,2113.75,749,0.454313,9,7,21817300,7709230,100,0.0105002
"Phyllostomus_hastatus",0,0,0.000870888,2112.5,748.5,0.531748,9,6,18743000,6644370,100,0.00928619
"Artibeus_jamaicensis",0.0780839,0.00043885,0.001971,2116.5,742.25,0.295887,16,19,36241200,12733900,250,0.0190481
"Sturnira_hondurensis",0.126972,0.000785391,0.00218051,2111.25,744.25,0.515001,19,13,40506000,14273000,250,0.0201251
"Molossus_molossus",0.09167,0.00053714,0.00206222,2113.25,743.75,0.275043,25,32,99393600,34992000,1000,0.0474196
"Miniopterus_natalensis",0.0985445,0.00165206,0.00586235,2114.75,739.5,0.240582,24,35,94032900,32991300,2500,0.0463988
"Eptesicus_fuscus",0.32125,0.0016521,0.00179028,2119.25,737.75,0.348644,5,5,17952200,6258920,1000,0.0105823
"Pipistrellus_kuhlii",0.402422,0.000375033,0.000328169,2114.25,744.5,0.378269,28,26,79337400,27867200,100,0.0381086
"Myotis_brandtii",0.154047,0.00358861,0.00814755,2117.25,740.5,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.18741,0.00312597,0.00581386,2118.75,738.5,0.13973,2,5,7942170,2774390,1000,0.00485649
"Myotis_davidii",0.462586,0.00228618,0.00172693,2117.75,740,0.34966,6,6,17609200,6157240,500,0.00980151
"Myotis_myotis",0.203695,0.000706277,0.00121005,2119,739.5,1.0487,12,4,8730500,3051890,250,0.0061503
"Hipposideros_armiger",0.123707,0.00178015,0.00504961,2114.5,742,0.351357,16,16,67427500,23691200,5000,0.0332282
"Rhinolophus_ferrumequinum",0.106601,0.00296965,0.00979394,2115.5,743.75,0.255929,8,11,25119000,8839450,5000,0.0122756
"Rhinolophus_sinicus",0.112604,0.00211672,0.00659392,2116,742.25,0.292898,15,18,27561800,9687350,5000,0.0132901
"Rousettus_aegyptiacus",0.135968,0.000346355,0.000898116,2113.75,745.25,0.351945,10,10,44846700,15783600,500,0.0218276
"Pteropus_alecto",0.202856,0.00177176,0.00305543,2116.75,740.5,0,0,1,5612960,1964470,2500,0.00268413
"Pteropus_giganteus",0.0715687,0.0015681,0.00766838,2116.5,740.75,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.068189,0.00183929,0.00944036,2116.5,740.75,NA,NA,NA,NA,NA,2500,0.0014088
