"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.321741,5382.63,5771.84,0.00213475,0.0007365,0.825916,131,54,217.014,73.8832,1000,0.101852
"Pteronotus_parnellii",0.378222,4812.2,4354.96,0.002132,0.00072975,0.888337,68,26,80.3215,27.2819,500,0.0379412
"Desmodus_rotundus",0.363436,3419.46,3251.92,0.002128,0.0007355,0.741679,41,19,49.3887,16.9751,500,0.0236955
"Phyllostomus_discolor",0.092627,988.064,3665.46,0.00213025,0.000732,1.83415,16,3,20.2214,6.9542,100,0.0105002
"Phyllostomus_hastatus",Inf,3447.34,0,0.00212775,0.00073475,0.75832,11,5,16.2789,5.61119,100,0.00928619
"Artibeus_jamaicensis",0.40618,2818.75,2393.29,0.0021305,0.00073475,0.863585,35,14,40.3606,13.9419,250,0.0190481
"Sturnira_hondurensis",0.281588,6332.08,7767.71,0.0021285,0.00073525,1.08783,44,14,39.6775,13.7335,250,0.0201251
"Molossus_molossus",0.458415,5332.32,3981.4,0.0021335,0.00073025,0.960329,98,35,97.1054,33.3047,1000,0.0474196
"Miniopterus_natalensis",0.349891,22819.3,22375.8,0.002135,0.0007325,0.535275,58,37,98.1484,33.5146,2500,0.0463988
"Eptesicus_fuscus",0.260063,8690.57,11334.8,0.0021345,0.000724,0.679101,10,5,22.5139,7.64461,1000,0.0105823
"Pipistrellus_kuhlii",Inf,324.34,0,0.002126,0.00072925,0.729976,81,38,80.8022,27.6713,100,0.0381086
"Myotis_brandtii",0.235384,14176.5,20445.1,0.00213275,0.000724,Inf,2,0,6.43953,2.185,5000,0.00352876
"Myotis_lucifugus",0.155103,5601.45,12249.8,0.002133,0.0007235,0.475115,7,5,8.16655,2.77146,1000,0.00485649
"Myotis_davidii",0.6126,2902.17,1610.64,0.00213175,0.00072475,1.10399,13,4,20.7232,7.03949,500,0.00980151
"Myotis_myotis",2.34165,2735.29,396.943,0.0021335,0.000725,1.10453,13,4,12.2158,4.15161,250,0.0061503
"Hipposideros_armiger",0.344951,27933.9,27694.5,0.002136,0.0007305,0.752126,22,10,70.5506,24.1195,5000,0.0332282
"Rhinolophus_ferrumequinum",0.360218,25416.5,24213.9,0.00213375,0.00073225,0.313841,11,12,23.1371,7.92149,5000,0.0122756
"Rhinolophus_sinicus",0.339604,26487.4,26864.5,0.002131,0.000734,0.633714,24,13,23.6591,8.12128,5000,0.0132901
"Rousettus_aegyptiacus",0.376489,4065.83,3701.4,0.00213425,0.0007315,0.52815,34,22,45.4697,15.539,500,0.0218276
"Pteropus_alecto",0.224418,11708,17823.1,0.002139,0.00073075,0.76736,9,4,2.76108,0.941663,2500,0.00268413
"Pteropus_giganteus",0.19478,18139,31742,0.0021395,0.00072925,0.255616,3,4,2.69577,0.918778,2500,0.00140844
"Pteropus_vampyrus",0.306258,19973.6,22229.7,0.0021395,0.00072925,0.227195,2,3,1.33933,0.456433,2500,0.0014088
