N,mean_pNpS_top5_free,mean_dNdS_top5_free,mean_pNpS_top5_low,mean_dNdS_top5_low,mean_pNpS_top5_int,mean_dNdS_top5_int,Julia
100,0.6340009431847502,0.7035739920853553,0.5977097059222966,0.6205837983826963,0.3062183788078425,0.640420679892621,0.641439
250,0.3615132386745375,0.6441344063105234,1.0461636493775115,0.6295349533699309,0.6306115770394198,0.5928874857033015,0.61255
500,0.38447387432839414,0.5388948633553161,0.24642099493934383,0.5456794600073632,0.2187569823422717,0.49900440796169093,0.509405
1000,0.1324908005138963,0.23434946991789696,0.1746889425342857,0.3028738599515198,0.24906910002182137,0.24663393270786407,0.236966
2500,0.061520928422109475,0.006799035444944578,0.10249670419636518,0.07569905890152878,0.0702465831374391,0.010796228414292239,0.00802157
5000,0.0426331285790002,1.8156593416466122e-4,0.07744709322666805,0.0271267807942122,0.05223118874241855,0.008579199786793508,3.88478e-05
