"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.155487,0.00208771,0.00468494,2122.25,740.5,0.277317,51,64,215780000,75092600,1000,0.101852
"Pteronotus_parnellii",0.458505,0.00165462,0.00125613,2124.5,739.5,0.228415,21,32,80364400,27971700,500,0.0379412
"Desmodus_rotundus",0.127156,0.00114219,0.00312247,2124.5,738.5,0.661306,19,10,44892300,15625000,500,0.0236955
"Phyllostomus_discolor",2.02614,0.00015784,2.70728e-05,2125.75,738.75,1.44257,25,6,21774800,7538810,100,0.0105002
"Phyllostomus_hastatus",2.21572,0.000504014,7.91241e-05,2125.25,739.25,0.404873,14,12,19684200,6831100,100,0.00928619
"Artibeus_jamaicensis",0.12118,0.00022859,0.000655937,2125.25,739,0.724795,25,12,40283600,14014800,250,0.0190481
"Sturnira_hondurensis",0.504121,0.000880779,0.000606446,2124,737.25,0.535718,17,11,39303400,13624200,250,0.0201251
"Molossus_molossus",0.117116,0.00153139,0.00449623,2130.25,732.5,0.273964,23,29,99701100,34440000,1000,0.0474196
"Miniopterus_natalensis",0.0899305,0.00240231,0.00927354,2122.25,736.75,0.231374,22,33,94404500,32764100,2500,0.0463988
"Eptesicus_fuscus",0.23519,0.00206712,0.00304876,2122.5,736.25,0.138692,6,15,20841200,7226260,1000,0.0105823
"Pipistrellus_kuhlii",1.47278,0.000115806,2.71388e-05,2124.5,733.25,0.466847,42,31,78753300,27136600,100,0.0381086
"Myotis_brandtii",0.105449,0.00280569,0.00921592,2122,735,0.692705,2,1,5977760,2070410,5000,0.00352876
"Myotis_lucifugus",0.050745,0.000674727,0.00459863,2123,734.25,0.34584,6,6,10206100,3529690,1000,0.00485649
"Myotis_davidii",0.186674,0.00133934,0.0024822,2124.5,735,0.346039,7,7,20160300,6976260,500,0.00980151
"Myotis_myotis",0.104561,0.000395016,0.00130866,2123.25,735.5,0.444953,9,7,13042500,4513690,250,0.0061503
"Hipposideros_armiger",0.0805034,0.00436839,0.0189737,2123.5,742.5,0.456038,17,13,69798000,24341000,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0689246,0.0039162,0.019661,2126.25,735.75,0.27722,8,10,25904000,8976390,5000,0.0122756
"Rhinolophus_sinicus",0.078458,0.00341171,0.0150675,2126.25,736.75,0.231258,6,9,27494200,9537400,5000,0.0132901
"Rousettus_aegyptiacus",0.0538312,0.000659609,0.00423376,2126.5,734.75,0.4437,18,14,45341000,15647200,500,0.0218276
"Pteropus_alecto",0.119087,0.00339835,0.00983977,2127.25,733.5,0.460292,4,3,5259230,1815590,2500,0.00268413
"Pteropus_giganteus",0.139053,0.00381827,0.00947256,2127,733.75,0.230257,2,3,2656020,917350,2500,0.00140844
"Pteropus_vampyrus",0.164511,0.00381234,0.00799328,2127.25,733.75,1.03541,3,1,2705440,933748,2500,0.0014088
