"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.186597,0.00142573,0.00263573,2135.75,736.75,0.267469,52,67,217319000,74893300,1000,0.101852
"Pteronotus_parnellii",0.340808,0.00128068,0.00128436,2139.5,731.25,0.631241,35,19,80210100,27485900,500,0.0379412
"Desmodus_rotundus",0.26719,0.000884095,0.00114147,2133.5,736,0.275061,16,20,50157800,17245500,500,0.0236955
"Phyllostomus_discolor",0.065729,0.000131141,0.000682261,2136.25,730.5,0.380461,10,9,20264800,6938980,100,0.0105002
"Phyllostomus_hastatus",0.0232347,8.08487e-05,0.00118959,2137.5,730.75,0.782089,16,7,19704300,6742110,100,0.00928619
"Artibeus_jamaicensis",0.00658505,3.71645e-05,0.00193903,2132.75,732.75,0.367324,15,14,39342000,13487800,250,0.0190481
"Sturnira_hondurensis",0.0959638,0.000916719,0.00326437,2136.25,730,0.497946,16,11,38471100,13170100,250,0.0201251
"Molossus_molossus",0.122468,0.00222899,0.00623071,2138.25,732,0.176737,16,31,100169000,34300500,1000,0.0474196
"Miniopterus_natalensis",0.109205,0.00295463,0.0093024,2137,734.75,0.254513,20,27,95398900,32778300,2500,0.0463988
"Eptesicus_fuscus",0.255144,0.0017661,0.00237973,2135,734,0.311861,10,11,22561700,7739730,1000,0.0105823
"Pipistrellus_kuhlii",0.0721355,0.000166377,0.000795759,2133.25,736,0.432953,44,35,80290600,27651600,100,0.0381086
"Myotis_brandtii",0.161432,0.00297162,0.00633135,2135.5,734.5,0.343948,1,1,6380870,2194690,5000,0.00352876
"Myotis_lucifugus",0.0688015,0.00159755,0.00800368,2134.5,735.75,0.344035,4,4,9156430,3150130,1000,0.00485649
"Myotis_davidii",0.0738809,0.000575306,0.002674,2136.75,733.75,0.0687396,1,5,19281500,6627000,500,0.00980151
"Myotis_myotis",0.620152,0.000474643,0.00026373,2133.75,735.25,1.03289,6,2,10501600,3615670,250,0.0061503
"Hipposideros_armiger",0.0905248,0.00455818,0.0173147,2136,734.5,0.803217,21,9,68890000,23714400,5000,0.0332282
"Rhinolophus_ferrumequinum",0.126344,0.00539146,0.0146522,2136.25,733.5,0.294127,6,7,24726800,8484940,5000,0.0122756
"Rhinolophus_sinicus",0.095758,0.00473034,0.0169619,2134.75,733,0.411911,12,10,28370400,9738380,5000,0.0132901
"Rousettus_aegyptiacus",0.170757,0.00149619,0.0029941,2138.5,730.75,0.357077,23,22,46267100,15802600,500,0.0218276
"Pteropus_alecto",0.0603576,0.00172052,0.00973502,2139,730.5,0.085321,1,4,5291840,1806020,2500,0.00268413
"Pteropus_giganteus",0.0480115,0.00151902,0.0107964,2139.25,730,Inf,1,0,470580,160600,2500,0.00140844
"Pteropus_vampyrus",0.0773716,0.00170817,0.00753461,2139,730,0.341248,1,1,2748880,938050,2500,0.0014088
