"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.112197,0.00145195,0.00448916,2120.25,735.5,0.294187,64,76,212862000,74362900,1000,0.101852
"Pteronotus_parnellii",0.289134,0.000671048,0.000815722,2118.25,744.5,0.378153,29,27,79621300,28032500,500,0.0379412
"Desmodus_rotundus",0.699068,0.000791327,0.000401236,2114.5,749.5,0.435842,16,13,47335600,16762500,500,0.0236955
"Phyllostomus_discolor",0.304836,0.000380059,0.000441769,2115.25,749.5,0.496478,14,10,21888200,7762140,100,0.0105002
"Phyllostomus_hastatus",0.0409322,3.26449e-05,0.000283015,2113.5,750,0.660112,13,7,17736800,6304450,100,0.00928619
"Artibeus_jamaicensis",0.0726332,0.000404026,0.00196995,2114.25,748.75,0.651161,22,12,38831100,13792000,250,0.0190481
"Sturnira_hondurensis",0.170753,0.00052466,0.00108612,2113.25,747,0.628429,23,13,41698900,14811400,250,0.0201251
"Molossus_molossus",0.0876241,0.00092094,0.00370734,2117,746.75,0.223339,24,38,96746200,34211400,1000,0.0474196
"Miniopterus_natalensis",0.0671299,0.0020943,0.0110335,2115,748,0.196582,15,27,94339900,33381900,2500,0.0463988
"Eptesicus_fuscus",0.0797738,0.00116815,0.00518769,2113.5,748.75,0.283226,8,10,21452100,7594750,1000,0.0105823
"Pipistrellus_kuhlii",0.0863791,0.000293434,0.00121151,2110,752.5,0.596304,42,25,79965100,28383000,100,0.0381086
"Myotis_brandtii",0.190707,0.00286529,0.0053545,2111.5,752.5,0.356225,1,1,5507430,1961880,5000,0.00352876
"Myotis_lucifugus",0.104947,0.00130562,0.00442213,2113.5,751.25,0.475188,4,3,5063510,1804590,1000,0.00485649
"Myotis_davidii",0.346889,0.00221126,0.00227026,2111.5,752,0.40717,8,7,20547900,7320690,500,0.00980151
"Myotis_myotis",0.202765,0.000416314,0.000731143,2111.75,752,1.6017,9,2,12887600,4587130,250,0.0061503
"Hipposideros_armiger",0.109421,0.00509226,0.0163919,2117.25,745.75,0.493718,21,15,69344000,24454600,5000,0.0332282
"Rhinolophus_ferrumequinum",0.117911,0.0043958,0.0130867,2118.75,743.75,0.394636,9,8,25748500,9032240,5000,0.0122756
"Rhinolophus_sinicus",0.08958,0.00529122,0.0207246,2119.75,743.75,0.526743,9,6,23437400,8230320,5000,0.0132901
"Rousettus_aegyptiacus",0.121235,0.00100905,0.00293541,2114.5,745.75,0.704816,22,11,41805200,14732500,500,0.0218276
"Pteropus_alecto",0.0914782,0.0019447,0.00749165,2114.75,745.25,0.352414,2,2,4741160,1670850,2500,0.00268413
"Pteropus_giganteus",0.106747,0.00281408,0.00927225,2116,744.25,0.703574,2,1,1652300,581259,2500,0.00140844
"Pteropus_vampyrus",0.142586,0.00318856,0.00786632,2115.75,744.25,0.351808,1,1,2320700,816442,2500,0.0014088
