"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.1497,0.00182364,0.00419679,2132.75,734.75,0.254815,57,77,214712000,73909000,1000,0.101852
"Pteronotus_parnellii",0.103645,0.000613579,0.00202607,2133,730,0.274216,24,30,79208300,27150200,500,0.0379412
"Desmodus_rotundus",0.215424,0.00140225,0.0022287,2135,731,0.548724,24,15,46549300,15964200,500,0.0236955
"Phyllostomus_discolor",8.88417,0.000352083,1.36379e-05,2130.75,733.25,0.480356,14,10,22286400,7646720,100,0.0105002
"Phyllostomus_hastatus",0.112003,0.000242384,0.000743602,2132.5,732.75,1.48626,13,3,19675600,6748420,100,0.00928619
"Artibeus_jamaicensis",4.6866,0.000734045,5.39786e-05,2131.25,734.5,0.36535,17,16,39860000,13706200,250,0.0190481
"Sturnira_hondurensis",0.0922176,0.000360399,0.00134427,2131.75,733.25,0.480885,21,15,41220600,14158800,250,0.0201251
"Molossus_molossus",0.068049,0.00102218,0.00517809,2130,734.25,0.300725,28,32,100594000,34572700,1000,0.0474196
"Miniopterus_natalensis",0.205941,0.00370699,0.00616404,2131.75,730,0.23663,20,29,96595100,33143100,2500,0.0463988
"Eptesicus_fuscus",0.476407,0.00225761,0.0016231,2133.5,730.75,0.248937,8,11,21323900,7298930,1000,0.0105823
"Pipistrellus_kuhlii",10.1985,0.000805526,2.71295e-05,2135.5,733.5,0.429009,45,36,80345700,27575200,100,0.0381086
"Myotis_brandtii",0.136084,0.00359721,0.0090041,2135.75,727.5,0,0,1,3098970,1055600,5000,0.00352876
"Myotis_lucifugus",0.170883,0.00187559,0.00374348,2134.5,728,0.0486741,1,7,10200300,3475430,1000,0.00485649
"Myotis_davidii",0.218951,0.0015907,0.0024864,2133,730,0.239081,7,10,20368900,6956890,500,0.00980151
"Myotis_myotis",0.273156,0.00131398,0.00163781,2136,727.25,0.113496,2,6,10788800,3673440,250,0.0061503
"Hipposideros_armiger",0.0893541,0.00482241,0.0185001,2133.25,731.25,0.571325,20,12,68116500,23350000,5000,0.0332282
"Rhinolophus_ferrumequinum",0.10459,0.004787,0.0157546,2128,732.5,0.60154,7,4,25595200,8798020,5000,0.0122756
"Rhinolophus_sinicus",0.0760672,0.00374607,0.0169324,2128.25,731.75,0.601314,7,4,25632000,8807370,5000,0.0132901
"Rousettus_aegyptiacus",0.295197,0.00163606,0.00191647,2127,735.5,0.345993,24,24,45187500,15634500,500,0.0218276
"Pteropus_alecto",0.159265,0.00269628,0.00586733,2127.25,737.25,0.34661,1,1,3171650,1099320,2500,0.00268413
"Pteropus_giganteus",0.0968385,0.00215027,0.00769739,2126.75,737.25,Inf,1,0,463577,160775,2500,0.00140844
"Pteropus_vampyrus",0.238749,0.0035753,0.00519122,2126.75,737.25,Inf,1,0,431680,149712,2500,0.0014088
