"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.130397,0.00139351,0.00366623,2132.25,731.5,0.239837,51,73,212328000,72891400,1000,0.101852
"Pteronotus_parnellii",0.339549,0.00150085,0.00151655,2132.75,731.75,0.399928,35,30,78389700,26871600,500,0.0379412
"Desmodus_rotundus",0.193404,0.00151224,0.00269728,2128.5,734.25,0.229412,12,18,44321000,15251700,500,0.0236955
"Phyllostomus_discolor",Inf,0.000210795,0,2130.25,731.75,0.686326,10,5,21978100,7542060,100,0.0105002
"Phyllostomus_hastatus",1.67726,0.000392771,8.01541e-05,2132,729.75,0.958378,14,5,18691200,6397600,100,0.00928619
"Artibeus_jamaicensis",0.233278,0.000636284,0.000938094,2131.25,733,0.499189,16,11,39383100,13516000,250,0.0190481
"Sturnira_hondurensis",0.619802,0.00122969,0.00068332,2128.25,733,0.744619,26,12,42600900,14640700,250,0.0201251
"Molossus_molossus",0.176971,0.00162561,0.00315498,2130.5,731.75,0.222382,22,34,100900000,34677500,1000,0.0474196
"Miniopterus_natalensis",0.0923041,0.00325816,0.0121913,2130.25,735.75,0.196799,16,28,98778300,34019100,2500,0.0463988
"Eptesicus_fuscus",0.247609,0.000815064,0.00113827,2126.25,735.25,0.259039,3,4,22158200,7653090,1000,0.0105823
"Pipistrellus_kuhlii",0.232846,0.000354425,0.000529036,2120.5,737,0.747522,56,26,80757600,28028100,100,0.0381086
"Myotis_brandtii",0.143495,0.00313072,0.00750734,2129.5,732.75,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.148798,0.00191024,0.00441744,2129.5,732.75,0.114698,1,3,5521790,1900020,1000,0.00485649
"Myotis_davidii",0.194535,0.000908109,0.00160977,2128.5,734,0.758475,11,5,15336100,5287290,500,0.00980151
"Myotis_myotis",0.19556,0.000866699,0.00152987,2128.5,734.75,0.344845,7,7,12089100,4168860,250,0.0061503
"Hipposideros_armiger",0.0878775,0.004424,0.0171367,2134.25,726.5,0.362986,17,16,70543100,24099900,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0983996,0.00395379,0.0137533,2132,729.75,1.02539,6,2,24198900,8271150,5000,0.0122756
"Rhinolophus_sinicus",0.105695,0.00426855,0.0138297,2131.75,730,0.769429,9,4,26961900,9220110,5000,0.0132901
"Rousettus_aegyptiacus",0.293334,0.00130174,0.00152065,2134.75,731.5,0.253261,20,27,44733200,15294400,500,0.0218276
"Pteropus_alecto",0.164704,0.00311003,0.00645636,2134.25,729.75,0.512028,3,2,4279820,1460930,2500,0.00268413
"Pteropus_giganteus",0.136329,0.00392785,0.00983218,2134.75,728.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.216957,0.00404125,0.00635511,2135.25,728.5,0,0,1,1675780,571872,2500,0.0014088
