"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.201337,0.0018921,0.00330036,2114.25,742.5,0.231644,47,71,214582000,75088500,1000,0.101852
"Pteronotus_parnellii",0.144139,0.00123712,0.00301735,2112.75,742.75,0.197719,22,39,79966200,28028300,500,0.0379412
"Desmodus_rotundus",0.209313,0.00131311,0.00222345,2109.75,747.75,0.311029,15,17,46058300,16235500,500,0.0236955
"Phyllostomus_discolor",0.144683,0.000457998,0.00110655,2115.5,739.5,0.573228,18,11,19459000,6816600,100,0.0105002
"Phyllostomus_hastatus",0.275095,0.000232654,0.000296393,2116.5,741.75,1.05297,12,4,18165800,6376040,100,0.00928619
"Artibeus_jamaicensis",0.120373,0.000340964,0.000997383,2112.25,743.75,0.703302,20,10,40259800,14157400,250,0.0190481
"Sturnira_hondurensis",0.0660786,0.000383651,0.00203601,2114.5,741.5,0.228167,15,23,41800300,14624100,250,0.0201251
"Molossus_molossus",0.309298,0.00159763,0.00181727,2114,743.75,0.175699,21,42,100007000,35142300,1000,0.0474196
"Miniopterus_natalensis",0.110271,0.00293824,0.00934283,2114.75,741.5,0.152993,17,39,95862900,33646400,2500,0.0463988
"Eptesicus_fuscus",0.0911909,0.0014447,0.00555728,2116,742.25,0.191239,6,11,20139300,7060950,1000,0.0105823
"Pipistrellus_kuhlii",0.0305253,5.82744e-05,0.000669791,2117,742.75,0.612804,56,32,78091700,27345700,100,0.0381086
"Myotis_brandtii",0.126751,0.00337839,0.00935714,2115,742.5,Inf,1,0,2731430,957599,5000,0.00352876
"Myotis_lucifugus",0.278481,0.0027805,0.00350763,2114.25,742.75,0.131548,3,8,10083800,3537340,1000,0.00485649
"Myotis_davidii",0.0984667,0.000567279,0.00201609,2116.75,740.75,0.612202,7,4,18539700,6485730,500,0.00980151
"Myotis_myotis",2.38081,0.000777673,0.000114253,2117.75,740.75,0.874886,5,2,11316100,3960130,250,0.0061503
"Hipposideros_armiger",0.132015,0.00562367,0.0147958,2119.75,736.25,0.696102,18,9,69072000,24040600,5000,0.0332282
"Rhinolophus_ferrumequinum",0.124252,0.00442215,0.0124377,2117.5,740,0.768707,11,5,25059400,8756080,5000,0.0122756
"Rhinolophus_sinicus",0.124353,0.0052958,0.0148898,2116.5,740,0.582867,10,6,27564700,9639930,5000,0.0132901
"Rousettus_aegyptiacus",0.0937236,0.00083918,0.0031528,2111.5,743.5,0.245598,14,20,46137200,16187400,500,0.0218276
"Pteropus_alecto",0.0768683,0.0021803,0.00990699,2116.5,739.25,0.699019,2,1,5353030,1870940,2500,0.00268413
"Pteropus_giganteus",0.0810221,0.00305832,0.0132038,2115.5,740,0.174886,1,2,2011980,703733,2500,0.00140844
"Pteropus_vampyrus",0.116878,0.00297407,0.0089131,2114.75,740.75,0,0,3,2060500,720762,2500,0.0014088
