"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.173795,0.00209714,0.00423788,2131.25,748.5,0.215626,52,85,214901000,75745100,1000,0.101852
"Pteronotus_parnellii",0.117018,0.000910643,0.00274483,2124.25,749.25,0.378219,30,28,78888400,27847900,500,0.0379412
"Desmodus_rotundus",0.64537,0.000995401,0.000547822,2120.75,753.25,0.204856,15,26,49747600,17664600,500,0.0236955
"Phyllostomus_discolor",1.49813,0.000221624,5.25982e-05,2122.75,754.75,1.51277,17,4,21919900,7802300,100,0.0105002
"Phyllostomus_hastatus",Inf,4.96773e-05,0,2123.25,751.5,0.566535,16,10,18108700,6412020,100,0.00928619
"Artibeus_jamaicensis",2.61376,0.000699808,9.47286e-05,2120.5,750.25,0.544863,20,13,38003700,13459400,250,0.0190481
"Sturnira_hondurensis",0.226747,0.000502058,0.000782412,2121.75,749.75,1.09582,31,10,41830000,14786500,250,0.0201251
"Molossus_molossus",0.247049,0.0018472,0.00261825,2128.25,745.25,0.23475,26,39,98924100,34833700,1000,0.0474196
"Miniopterus_natalensis",0.165687,0.00469133,0.00997632,2126.5,749.25,0.170718,16,33,98603400,34718800,2500,0.0463988
"Eptesicus_fuscus",0.0990132,0.00077886,0.00278378,2124.25,751.75,0.205995,7,12,22373500,7900860,1000,0.0105823
"Pipistrellus_kuhlii",0.229346,0.000480592,0.000740629,2126.25,751.5,0.405841,46,40,79528700,28066100,100,0.0381086
"Myotis_brandtii",0.218879,0.00466933,0.00752486,2126.25,750,0,0,2,5764260,2033250,5000,0.00352876
"Myotis_lucifugus",0.102568,0.00143486,0.00494158,2126.75,751.25,0.100858,2,7,9799470,3459250,1000,0.00485649
"Myotis_davidii",0.174962,0.00121882,0.00246054,2125.5,750.75,0.441554,10,8,20013300,7069570,500,0.00980151
"Myotis_myotis",0.122488,0.000700615,0.00202531,2124.5,752.25,1.41412,8,2,12020000,4249430,250,0.0061503
"Hipposideros_armiger",0.0761928,0.00401785,0.0187669,2120.75,754.75,1.01476,20,7,64591400,22940700,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0861448,0.0033412,0.0136862,2124.75,749.75,0.308759,7,8,23027700,8125720,5000,0.0122756
"Rhinolophus_sinicus",0.0876524,0.00368839,0.014815,2126,748.5,0.403002,8,7,27798500,9802490,5000,0.0132901
"Rousettus_aegyptiacus",0.0690166,0.0004937,0.00253215,2123,751.5,0.16924,11,23,46113700,16318000,500,0.0218276
"Pteropus_alecto",0.0851167,0.00266747,0.0110669,2125.25,750.5,0.70627,2,1,5321630,1879250,2500,0.00268413
"Pteropus_giganteus",0.145843,0.00374377,0.00905974,2125.75,750.25,0.235396,2,3,2501670,883322,2500,0.00140844
"Pteropus_vampyrus",0.161933,0.00392631,0.00855845,2125.5,750.25,0.353119,1,1,127516,45028.5,2500,0.0014088
