"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.196253,0.00136852,0.00240649,2131.25,735.5,0.180077,38,73,216757000,74984500,1000,0.101852
"Pteronotus_parnellii",0.319626,0.0011787,0.00125633,2134,727,0.343594,32,32,77858200,26751600,500,0.0379412
"Desmodus_rotundus",0.111549,0.00088643,0.00271529,2132.75,728.75,0.420925,22,18,47902700,16497400,500,0.0236955
"Phyllostomus_discolor",1.2797,4.92446e-05,1.3468e-05,2121.5,742.5,0.544294,14,9,21972700,7688330,100,0.0105002
"Phyllostomus_hastatus",0.23751,0.000233583,0.000343922,2122.5,742.25,0.399567,8,7,17897700,6257400,100,0.00928619
"Artibeus_jamaicensis",0.361304,0.000724312,0.000690615,2127.75,733,0.409457,19,16,40093600,13824500,250,0.0190481
"Sturnira_hondurensis",0.0758236,0.000210978,0.000964891,2126.75,737.5,0.242353,14,20,40180300,13911200,250,0.0201251
"Molossus_molossus",0.102585,0.00157901,0.00528422,2131.5,731.75,0.235486,26,38,99964000,34404800,1000,0.0474196
"Miniopterus_natalensis",0.0641612,0.00194392,0.010429,2128,732.5,0.229975,20,30,98169700,33864800,2500,0.0463988
"Eptesicus_fuscus",0.146494,0.0019416,0.00458406,2127.25,735.75,0.188768,6,11,22277600,7709700,1000,0.0105823
"Pipistrellus_kuhlii",0.198941,0.000421181,0.00073071,2131,735.5,0.480248,50,36,79012800,27320900,100,0.0381086
"Myotis_brandtii",0.210206,0.00341768,0.0056433,2125.5,737.75,0,0,1,1725910,599053,5000,0.00352876
"Myotis_lucifugus",0.0961618,0.00166813,0.00600601,2126.5,736.25,0.260089,3,4,8788160,3047600,1000,0.00485649
"Myotis_davidii",1.20315,0.00134799,0.000387988,2127.5,736.75,0.346096,7,7,17907600,6197760,500,0.00980151
"Myotis_myotis",1.36083,0.000482599,0.00012305,2125.5,737.5,0.445046,9,7,13034700,4511910,250,0.0061503
"Hipposideros_armiger",0.0489388,0.00304638,0.021417,2129.75,732.75,0.281908,9,11,70269900,24211700,5000,0.0332282
"Rhinolophus_ferrumequinum",0.123267,0.00417189,0.0116442,2130.5,733,0.344592,7,7,23616000,8137880,5000,0.0122756
"Rhinolophus_sinicus",0.117385,0.00509304,0.014931,2130,733,0.757787,11,5,28273400,9738730,5000,0.0132901
"Rousettus_aegyptiacus",3.03781,0.00158927,0.000180647,2124.25,733.5,0.382476,21,19,46164900,15975300,500,0.0218276
"Pteropus_alecto",0.147309,0.0035128,0.00823296,2126,734,0.172634,1,2,5503900,1900330,2500,0.00268413
"Pteropus_giganteus",0.0612875,0.00260232,0.014673,2125.5,734.5,0,0,1,1526110,527371,2500,0.00140844
"Pteropus_vampyrus",0.12658,0.00398907,0.0108902,2125.5,734.5,0,0,1,2367810,818233,2500,0.0014088
