"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.139421,0.00120782,0.00298582,2134,735.5,0.351785,54,53,215947000,74560000,1000,0.101852
"Pteronotus_parnellii",0.161264,0.00101878,0.00217469,2133,734.25,0.318064,36,39,79034100,27232700,500,0.0379412
"Desmodus_rotundus",0.133549,0.000832654,0.00215291,2130,735.5,0.250962,16,22,50299200,17356900,500,0.0236955
"Phyllostomus_discolor",0.166968,0.000206476,0.000426229,2131,734.5,0.48352,7,5,20488400,7076090,100,0.0105002
"Phyllostomus_hastatus",0.0675942,6.04053e-05,0.000307774,2130.5,733.75,0.603715,14,8,19567700,6750470,100,0.00928619
"Artibeus_jamaicensis",0.0239301,8.32652e-05,0.00119845,2132.5,734.5,0.402039,21,18,40275000,13879000,250,0.0190481
"Sturnira_hondurensis",0.179248,0.00132759,0.00254488,2134,733.25,0.271829,15,19,41762600,14379500,250,0.0201251
"Molossus_molossus",0.11701,0.00136999,0.00406469,2127.25,738.5,0.173212,23,46,100885000,34949000,1000,0.0474196
"Miniopterus_natalensis",0.149667,0.00306749,0.00718091,2123.5,744,0.264366,22,29,95085800,33135700,2500,0.0463988
"Eptesicus_fuscus",0.0988093,0.00209768,0.00735129,2131.25,738,0.23079,6,9,21804300,7548320,1000,0.0105823
"Pipistrellus_kuhlii",NA,0,0,2129,736.5,0.577808,50,30,80555900,27927500,100,0.0381086
"Myotis_brandtii",0.0940634,0.00232971,0.00860883,2128.25,739.75,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.08329,0.00177806,0.00743123,2127.25,740.5,0.0695788,1,5,9236620,3213360,1000,0.00485649
"Myotis_davidii",0.752388,0.00142798,0.00066052,2127.75,740.5,0.309455,8,9,18937000,6592670,500,0.00980151
"Myotis_myotis",0.175065,0.000719399,0.0014295,2127.25,740,0.0948587,3,11,12237100,4256260,250,0.0061503
"Hipposideros_armiger",0.200692,0.00665878,0.0113682,2133.5,731,0.436945,14,11,70784700,24301400,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0765267,0.00314944,0.0140494,2133.25,728.25,0.684506,12,6,24095000,8246590,5000,0.0122756
"Rhinolophus_sinicus",0.0996729,0.00430444,0.0147425,2134.75,728.75,0.380171,10,9,24088300,8241920,5000,0.0132901
"Rousettus_aegyptiacus",0.971808,0.00102443,0.000358946,2137.25,727.75,0.360072,20,19,46414300,15876800,500,0.0218276
"Pteropus_alecto",0.0845749,0.00190086,0.00770511,2133.75,731.5,0,0,3,4231230,1450560,2500,0.00268413
"Pteropus_giganteus",0.0898908,0.00263537,0.0100461,2134,731.25,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.128088,0.00288768,0.00772522,2134,731.25,0,0,1,480150,164531,2500,0.0014088
