"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.113832,0.00193808,0.00578473,2138.25,726.5,0.211198,49,79,217182000,73951100,1000,0.101852
"Pteronotus_parnellii",0.255506,0.00141252,0.00190374,2130.75,733.75,0.439699,32,25,80382100,27612400,500,0.0379412
"Desmodus_rotundus",0.482275,0.00218195,0.00155691,2131.5,733.5,0.514777,21,14,50148800,17210300,500,0.0236955
"Phyllostomus_discolor",0.124919,0.000169448,0.000464562,2132.25,730.25,0.554006,21,13,22248200,7630150,100,0.0105002
"Phyllostomus_hastatus",0.145516,0.00024539,0.000580118,2130.75,733,3.44183,10,1,18986600,6534860,100,0.00928619
"Artibeus_jamaicensis",0.0818932,0.000469857,0.00197027,2134.5,733,0.584445,17,10,37247000,12805200,250,0.0190481
"Sturnira_hondurensis",0.271286,0.00066847,0.000854087,2127,737.25,0.323859,15,16,42665700,14738800,250,0.0201251
"Molossus_molossus",0.227584,0.00184893,0.00275995,2139.25,726.75,0.463655,30,22,100412000,34141400,1000,0.0474196
"Miniopterus_natalensis",0.137352,0.0030639,0.00758876,2137,727,0.254863,21,28,93128000,31646500,2500,0.0463988
"Eptesicus_fuscus",0.377832,0.00180773,0.00162335,2138.25,725.5,0.485312,10,7,22178100,7534310,1000,0.0105823
"Pipistrellus_kuhlii",0.714511,0.000399964,0.000191155,2136.25,729.5,0.517383,47,31,78741500,26870800,100,0.0381086
"Myotis_brandtii",0.128449,0.00242159,0.00641873,2136.75,727.5,0.170196,1,2,6002480,2043200,5000,0.00352876
"Myotis_lucifugus",0.252998,0.00132758,0.00178946,2136.25,728.5,0.1362,2,5,8140990,2772000,1000,0.00485649
"Myotis_davidii",0.0699543,0.000447635,0.00218998,2133,730,0.468915,11,8,20874600,7118850,500,0.00980151
"Myotis_myotis",0.170606,0.000850735,0.00169641,2137,727,0.226916,4,6,11757000,4001760,250,0.0061503
"Hipposideros_armiger",0.113762,0.00530512,0.0158334,2139,726.25,0.648862,19,10,70050900,23922800,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0934212,0.00468937,0.0171435,2134.5,729,0.342277,5,5,23968300,8203810,5000,0.0122756
"Rhinolophus_sinicus",0.0686248,0.00431734,0.0215164,2133,729.5,0.390921,8,7,24730000,8459060,5000,0.0132901
"Rousettus_aegyptiacus",0.163859,0.00131608,0.00275851,2133.5,732.75,0.370105,14,13,43081900,14805900,500,0.0218276
"Pteropus_alecto",0.117334,0.00239206,0.00700102,2133.75,732.75,0.687529,4,2,5112360,1757450,2500,0.00268413
"Pteropus_giganteus",0.0980672,0.00225319,0.00789923,2132.75,733.25,0,0,1,1247660,428951,2500,0.00140844
"Pteropus_vampyrus",0.0730627,0.00198607,0.00934567,2132.75,733.25,0.343805,1,1,2384410,819774,2500,0.0014088
