"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.281969,0.00238386,0.00295065,2121,740.25,0.20163,51,88,215872000,75104000,1000,0.101852
"Pteronotus_parnellii",0.14886,0.000905778,0.00214102,2118,745.25,0.307235,35,40,79839500,28033700,500,0.0379412
"Desmodus_rotundus",0.0749932,0.000747169,0.00348652,2122.5,742.75,0.449294,18,14,49657000,17352700,500,0.0236955
"Phyllostomus_discolor",0.317957,3.64213e-05,4.00654e-05,2119.25,741.25,0.979,14,5,18412700,6437880,100,0.0105002
"Phyllostomus_hastatus",0.0707198,0.000313756,0.00156025,2117,744.5,1.28648,11,3,18971600,6656360,100,0.00928619
"Artibeus_jamaicensis",0.180484,0.000676313,0.00130332,2124,738.75,0.591866,17,10,39709500,13825100,250,0.0190481
"Sturnira_hondurensis",0.102629,0.000239763,0.000820867,2121,745.25,0.473929,19,14,40512200,14147300,250,0.0201251
"Molossus_molossus",0.72047,0.0011314,0.000552482,2119,745.5,0.186431,17,32,99923400,35066000,1000,0.0474196
"Miniopterus_natalensis",0.137074,0.00432005,0.0110087,2123.5,741.75,0.418397,24,20,98519000,34350100,2500,0.0463988
"Eptesicus_fuscus",0.129605,0.00153237,0.00413699,2122.75,742.75,0.194317,5,9,15501900,5422090,1000,0.0105823
"Pipistrellus_kuhlii",0.295282,8.75969e-05,0.00010503,2116.25,749.25,0.66451,64,34,79671700,28125800,100,0.0381086
"Myotis_brandtii",0.141871,0.00315403,0.00778686,2122,743.25,0,0,1,4428610,1551160,5000,0.00352876
"Myotis_lucifugus",0.183354,0.00137211,0.00261641,2122.25,742,1.04943,3,1,9122970,3191290,1000,0.00485649
"Myotis_davidii",0.415548,0.00166054,0.00140249,2121.25,744.5,0.146089,5,12,19228000,6741580,500,0.00980151
"Myotis_myotis",0.201633,0.00034466,0.000599127,2121.25,743.5,0.467352,8,6,12518100,4387770,250,0.0061503
"Hipposideros_armiger",0.129576,0.00456886,0.0122024,2126.75,736,0.367443,18,17,70577400,24492400,5000,0.0332282
"Rhinolophus_ferrumequinum",0.136989,0.00514983,0.0131228,2122.75,741,0.278951,8,10,22143900,7721310,5000,0.0122756
"Rhinolophus_sinicus",0.0981981,0.00488422,0.0174,2121.75,742.25,0.317231,10,11,26042800,9087740,5000,0.0132901
"Rousettus_aegyptiacus",0.257582,0.00073211,0.0009883,2126,739.25,0.312281,9,10,39051800,13550100,500,0.0218276
"Pteropus_alecto",0.145068,0.00367139,0.00877202,2127.75,737.5,0.173174,1,2,3555760,1231530,2500,0.00268413
"Pteropus_giganteus",0.188938,0.00325422,0.00596657,2127.5,737,0,0,2,2440240,845339,2500,0.00140844
"Pteropus_vampyrus",0.165763,0.00327626,0.00684682,2127.5,737,0,0,1,2421100,838706,2500,0.0014088
