"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.196759,0.00260271,0.00454743,2122.75,729.75,0.187745,46,84,211177000,72399700,1000,0.101852
"Pteronotus_parnellii",0.19221,0.00121742,0.00216017,2126.5,725.25,0.340395,26,26,79670600,27119500,500,0.0379412
"Desmodus_rotundus",1.27862,0.00146393,0.000388133,2131.25,722.5,0.452289,20,15,44670200,15152900,500,0.0236955
"Phyllostomus_discolor",0.0123613,4.71254e-06,0.00013097,2122,729,0.724928,19,9,21718600,7457900,100,0.0105002
"Phyllostomus_hastatus",0.00195437,4.71309e-06,0.000828292,2121.75,728.75,0.891221,13,5,18758000,6429830,100,0.00928619
"Artibeus_jamaicensis",0.831842,0.0017262,0.000709715,2123.5,726.25,0.511369,18,12,40062800,13657900,250,0.0190481
"Sturnira_hondurensis",0.381971,0.000894712,0.000795745,2126.75,722.5,0.493688,16,11,40174100,13635500,250,0.0201251
"Molossus_molossus",0.17348,0.00217528,0.00427257,2126.25,724.5,0.156714,17,37,100037000,34120900,1000,0.0474196
"Miniopterus_natalensis",0.233271,0.00377616,0.00552599,2126.75,726,0.227525,18,27,96163600,32819500,2500,0.0463988
"Eptesicus_fuscus",0.189896,0.00202764,0.00365301,2125,727,0.456362,4,3,21155700,7240990,1000,0.0105823
"Pipistrellus_kuhlii",1.55555,0.000705705,0.000155563,2125.25,728.75,0.522814,49,32,80553100,27503200,100,0.0381086
"Myotis_brandtii",0.206462,0.00332335,0.00551083,2123.5,727,0.342477,1,1,4584640,1570130,5000,0.00352876
"Myotis_lucifugus",0.177456,0.00214183,0.00413504,2122.75,727.25,0.20542,3,5,7511130,2571560,1000,0.00485649
"Myotis_davidii",1.11022,0.00205151,0.000631748,2124.25,726.25,0.385108,9,8,19974400,6837620,500,0.00980151
"Myotis_myotis",0.179855,0.000786247,0.00149613,2123.5,726.75,0.293556,6,7,11559300,3958840,250,0.0061503
"Hipposideros_armiger",0.100252,0.00394946,0.0134621,2126.75,726.75,0.768474,18,8,68686900,23459600,5000,0.0332282
"Rhinolophus_ferrumequinum",0.103929,0.00538673,0.0177361,2126,727.5,0.303651,8,9,22101900,7550160,5000,0.0122756
"Rhinolophus_sinicus",0.0934126,0.00507707,0.0186414,2124.75,728.75,0.456026,8,6,21064700,7204520,5000,0.0132901
"Rousettus_aegyptiacus",0.0953448,0.000961668,0.00346729,2125,730.5,0.27506,16,20,43427100,14931400,500,0.0218276
"Pteropus_alecto",0.121027,0.00274169,0.00782161,2122.25,732.75,0.345249,1,1,4834790,1669200,2500,0.00268413
"Pteropus_giganteus",0.178231,0.0030467,0.00590208,2122.25,732.75,0,0,1,2489990,859516,2500,0.00140844
"Pteropus_vampyrus",0.114937,0.00296704,0.00891905,2122.25,733.25,0,0,1,2031470,701242,2500,0.0014088
