"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.0910092,0.0011575,0.00440959,2118.5,734.5,0.136323,41,104,213370000,73782300,1000,0.101852
"Pteronotus_parnellii",0.259664,0.0010095,0.00134373,2120.75,733,0.286383,29,35,80288200,27750400,500,0.0379412
"Desmodus_rotundus",0.037444,0.000298206,0.00274564,2123.25,732,0.309187,17,19,50236800,17359900,500,0.0236955
"Phyllostomus_discolor",0.309647,0.00086549,0.000973955,2116.5,737.5,0.34849,8,8,21958800,7652420,100,0.0105002
"Phyllostomus_hastatus",0.262602,5.04886e-05,6.7115e-05,2117,739,0.756599,13,6,19299700,6739440,100,0.00928619
"Artibeus_jamaicensis",0.0836102,0.000299256,0.00123717,2123.5,734,0.365773,18,17,39759500,13735000,250,0.0190481
"Sturnira_hondurensis",0.0188656,0.000139438,0.00253735,2124.25,729.25,0.452904,21,16,41454900,14304800,250,0.0201251
"Molossus_molossus",0.270189,0.00139917,0.00178924,2120.75,732.75,0.205012,22,37,98730700,34041600,1000,0.0474196
"Miniopterus_natalensis",0.0693669,0.00277946,0.0138797,2118.25,733.75,0.332228,26,27,95346900,32895300,2500,0.0463988
"Eptesicus_fuscus",0.537174,0.00206221,0.00131947,2121.75,729.25,0.0264716,1,13,21254800,7314450,1000,0.0105823
"Pipistrellus_kuhlii",0.174437,0.000289374,0.000571874,2120.5,731,0.47702,36,26,78980600,27210000,100,0.0381086
"Myotis_brandtii",0.0679989,0.00152742,0.0077622,2119,732.25,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.101835,0.000979674,0.00332785,2118.25,732.75,Inf,1,0,8626450,2980990,1000,0.00485649
"Myotis_davidii",0.372772,0.00115962,0.00107768,2118.75,734,0.395354,8,7,19756400,6834440,500,0.00980151
"Myotis_myotis",0.449832,0.000361077,0.000276044,2122,729.75,1.55235,9,2,11337300,3910990,250,0.0061503
"Hipposideros_armiger",0.0964714,0.00414195,0.0147851,2122.75,731,0.612783,16,9,69543600,23971000,5000,0.0332282
"Rhinolophus_ferrumequinum",0.133945,0.00584408,0.0151375,2117.75,734.75,0.297158,12,14,25962700,9000860,5000,0.0122756
"Rhinolophus_sinicus",0.138608,0.00515207,0.0128683,2118,733.25,0.18481,8,15,24949900,8645630,5000,0.0132901
"Rousettus_aegyptiacus",0.0917924,0.00051611,0.00193919,2119.5,731,0.299223,13,15,43764900,15110100,500,0.0218276
"Pteropus_alecto",0.0900514,0.0023558,0.00906796,2119,734.5,0.230908,2,3,2993940,1036990,2500,0.00268413
"Pteropus_giganteus",0.191452,0.00397974,0.00720864,2118.75,734.75,0,0,1,796650,276266,2500,0.00140844
"Pteropus_vampyrus",0.140052,0.00304351,0.00753606,2118.75,734.75,0,0,2,1760680,610577,2500,0.0014088
