"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.124633,0.00171622,0.00481999,2121.25,742.5,0.234398,51,76,215969000,75437800,1000,0.101852
"Pteronotus_parnellii",0.349124,0.00152112,0.00151525,2123.5,738.5,0.243659,28,40,80265600,27939200,500,0.0379412
"Desmodus_rotundus",0.133226,0.000551401,0.00144186,2122,739.25,0.252077,13,18,49845100,17397400,500,0.0236955
"Phyllostomus_discolor",0.170001,0.000344482,0.000710285,2118.25,742.5,1.1675,20,6,21191400,7422310,100,0.0105002
"Phyllostomus_hastatus",0.0662281,0.000129209,0.000679608,2120.75,738.75,0.348934,12,12,17336800,6049400,100,0.00928619
"Artibeus_jamaicensis",0.0417845,0.000225046,0.00188188,2120,740.75,0.302783,13,15,37798700,13205500,250,0.0190481
"Sturnira_hondurensis",0.179787,0.00106108,0.00206763,2117.25,741.75,0.554309,19,12,42102400,14739600,250,0.0201251
"Molossus_molossus",0.0617799,0.00135124,0.00757686,2126.75,736.75,0.219181,24,38,100171000,34762800,1000,0.0474196
"Miniopterus_natalensis",0.130942,0.00317055,0.00842103,2122,738,0.334501,26,27,98044300,34057300,2500,0.0463988
"Eptesicus_fuscus",0.169467,0.0024999,0.00511585,2122.25,736,0.269912,7,9,22315700,7744220,1000,0.0105823
"Pipistrellus_kuhlii",Inf,1.87191e-05,0,2120.75,741.25,0.583605,47,28,80779100,28085300,100,0.0381086
"Myotis_brandtii",0.148992,0.0033041,0.00769514,2122.5,736.5,0,0,1,5555890,1927420,5000,0.00352876
"Myotis_lucifugus",0.131993,0.00144025,0.00379103,2122,737.25,0.130133,3,8,9972430,3460640,1000,0.00485649
"Myotis_davidii",0.500574,0.00153672,0.00106453,2122.5,736,0.303341,7,8,18241800,6323970,500,0.00980151
"Myotis_myotis",0.391761,0.000685893,0.000607313,2122.5,736.25,2.42803,14,2,13052600,4527450,250,0.0061503
"Hipposideros_armiger",0.0721484,0.00397371,0.0191705,2121,738.25,0.424221,17,14,69902600,24421100,5000,0.0332282
"Rhinolophus_ferrumequinum",0.105738,0.00439497,0.0144935,2120.75,739.5,0.47996,11,8,25640300,8950060,5000,0.0122756
"Rhinolophus_sinicus",0.0944252,0.00426994,0.0157309,2120.75,737.75,0.387444,10,9,27323800,9527800,5000,0.0132901
"Rousettus_aegyptiacus",0.0794211,0.000604681,0.00266705,2116.75,741.5,0.250484,15,21,46006500,16133500,500,0.0218276
"Pteropus_alecto",0.107689,0.00301588,0.00982587,2116.25,742.5,Inf,1,0,486680,170832,2500,0.00268413
"Pteropus_giganteus",0.0950535,0.00233324,0.00861234,2116.25,742.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.126319,0.00268556,0.00745924,2116.25,742.5,0,0,4,2842120,997178,2500,0.0014088
