"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.26294,8400.86,11165.1,0.002119,0.0007405,0.634854,139,76,215.592,74.8351,1000,0.101852
"Pteronotus_parnellii",0.445293,6199.08,4811.96,0.00213075,0.0007365,1.05593,64,21,78.9012,27.3375,500,0.0379412
"Desmodus_rotundus",0.520993,3238.71,2170.4,0.0021245,0.00074175,0.547909,33,21,49.8282,17.3736,500,0.0236955
"Phyllostomus_discolor",7.98188,2775.9,121.132,0.002126,0.0007405,0.493261,17,12,21.5193,7.49268,100,0.0105002
"Phyllostomus_hastatus",0.0574597,197.099,1203.6,0.0021225,0.00074475,0.649372,13,7,17.1264,5.98845,100,0.00928619
"Artibeus_jamaicensis",0.279569,1907.4,2366.68,0.0021275,0.000738,0.454838,21,16,39.8429,13.8073,250,0.0190481
"Sturnira_hondurensis",1.21051,7102.66,2041.41,0.0021255,0.0007395,0.656801,32,17,40.5693,14.1557,250,0.0201251
"Molossus_molossus",0.23034,5900.92,8841.37,0.00212825,0.0007345,0.755012,72,33,95.512,33.0517,1000,0.0474196
"Miniopterus_natalensis",0.200429,9654.62,16582,0.0021315,0.00073375,0.713484,62,30,94.075,32.4779,2500,0.0463988
"Eptesicus_fuscus",0.224619,4443.86,6857.32,0.00212775,0.0007375,0.757695,24,11,20.6388,7.16737,1000,0.0105823
"Pipistrellus_kuhlii",0.358872,83.2968,80.7555,0.00212475,0.00073925,0.973011,84,30,80.3043,27.9061,100,0.0381086
"Myotis_brandtii",0.3303,13239.1,13985.4,0.002128,0.0007425,0.348878,1,1,4.71407,1.64464,5000,0.00352876
"Myotis_lucifugus",0.280493,7193.66,8939.53,0.002128,0.00074175,0.872222,5,2,8.13763,2.83913,1000,0.00485649
"Myotis_davidii",1.20033,6842.1,1978.08,0.002131,0.0007395,0.31278,9,10,20.3107,7.05864,500,0.00980151
"Myotis_myotis",1.24462,1421.1,395.099,0.00213275,0.000738,0.396121,8,7,12.7164,4.40759,250,0.0061503
"Hipposideros_armiger",0.725176,35165.4,16983.4,0.00212575,0.0007445,0.504113,26,18,70.6858,24.6694,5000,0.0332282
"Rhinolophus_ferrumequinum",0.273328,15259.6,19407.3,0.00212875,0.00074,0.800128,23,10,25.855,8.99448,5000,0.0122756
"Rhinolophus_sinicus",0.30424,30976,35415.9,0.00213025,0.000741,1.11497,16,5,28.2709,9.85039,5000,0.0132901
"Rousettus_aegyptiacus",0.640591,4548.4,2468.48,0.00212925,0.00074025,0.675013,35,18,45.2273,15.7006,500,0.0218276
"Pteropus_alecto",0.271812,23199.5,29619.9,0.00212875,0.00073875,1.04029,6,2,5.41399,1.87737,2500,0.00268413
"Pteropus_giganteus",0.388959,24231.1,21631.7,0.00212825,0.000739,1.04123,3,1,2.10722,0.731363,2500,0.00140844
"Pteropus_vampyrus",0.19683,12904.3,22735.8,0.00213025,0.00073875,2.43351,14,2,2.2815,0.793152,2500,0.0014088
