"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.18175,0.00212837,0.00406391,2123,736.75,0.236353,49,72,215473000,74832700,1000,0.101852
"Pteronotus_parnellii",0.356327,0.000716616,0.000700129,2117.75,737.25,0.453768,30,23,78348200,27256500,500,0.0379412
"Desmodus_rotundus",0.125006,0.00104425,0.00292186,2119.25,741.25,0.298343,18,21,50087400,17433800,500,0.0236955
"Phyllostomus_discolor",0.216365,0.000332086,0.000532301,2120.75,735.5,1.0387,12,4,20557700,7117750,100,0.0105002
"Phyllostomus_hastatus",0.0899484,0.000246294,0.000951228,2121.5,737,0.277399,8,10,18993700,6586060,100,0.00928619
"Artibeus_jamaicensis",0.0947275,0.000583821,0.00213231,2122.25,734.25,0.478786,18,13,39630500,13703800,250,0.0190481
"Sturnira_hondurensis",0.196235,0.000825611,0.00145908,2122.25,736,0.469842,19,14,41097600,14228000,250,0.0201251
"Molossus_molossus",0.118282,0.00167086,0.00486658,2124.75,732,0.209517,26,43,99605000,34514000,1000,0.0474196
"Miniopterus_natalensis",0.132619,0.0032576,0.00849268,2122.25,733.75,0.251958,16,22,98379300,34082800,2500,0.0463988
"Eptesicus_fuscus",0.0837039,0.00137954,0.00570757,2119.5,734,0.0432756,1,8,19781600,6848490,1000,0.0105823
"Pipistrellus_kuhlii",0.133163,0.000188968,0.000491148,2120.75,734,0.591922,53,31,79866700,27651300,100,0.0381086
"Myotis_brandtii",0.17481,0.00332895,0.00657361,2122,732.5,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.0698815,0.000900438,0.00443816,2123.75,731.5,0.344781,3,3,9217610,3178060,1000,0.00485649
"Myotis_davidii",0.168242,0.000947999,0.0019464,2122,733,0.172849,4,8,20111800,6952600,500,0.00980151
"Myotis_myotis",0.223561,0.000700676,0.00108649,2119.5,734.75,0.230675,4,6,12623500,4367880,250,0.0061503
"Hipposideros_armiger",0.122144,0.00457669,0.0129772,2120.75,734.5,0.373728,14,13,65987500,22899800,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0529957,0.00309324,0.0202712,2117.75,735.5,0.486694,7,5,25162900,8747580,5000,0.0122756
"Rhinolophus_sinicus",0.13573,0.00567046,0.0145193,2117.75,736,0.397736,8,7,23779700,8275800,5000,0.0132901
"Rousettus_aegyptiacus",0.150874,0.000846232,0.00194102,2121,734,0.0931802,7,26,42122300,14578400,500,0.0218276
"Pteropus_alecto",0.109887,0.00254097,0.00800947,2121.25,734.75,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.177594,0.00328263,0.00640089,2121.75,734.75,0,0,1,1828300,633786,2500,0.00140844
"Pteropus_vampyrus",0.235149,0.00309035,0.00455574,2121,735.25,NA,NA,NA,NA,NA,2500,0.0014088
