"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.0887911,0.00157908,0.00615429,2122.5,734.5,0.215409,47,76,212443000,73998500,1000,0.101852
"Pteronotus_parnellii",0.3377,0.000751495,0.000780051,2112.5,740.5,0.229383,21,32,73972400,25856000,500,0.0379412
"Desmodus_rotundus",0.151617,0.000940163,0.00215147,2122,736.25,0.447375,18,14,47281100,16451900,500,0.0236955
"Phyllostomus_discolor",0.0774931,0.00015737,0.000706551,2119,737.25,0.542144,14,9,20762300,7236090,100,0.0105002
"Phyllostomus_hastatus",0.00873315,4.72701e-06,0.000188889,2115.5,738.25,0.736306,19,9,19493400,6798850,100,0.00928619
"Artibeus_jamaicensis",0.66153,0.00133475,0.00070892,2113.25,742.5,0.350786,10,10,38296800,13434000,250,0.0190481
"Sturnira_hondurensis",0.241889,0.000836113,0.00120771,2117.25,739.75,0.581957,25,15,38236700,13351300,250,0.0201251
"Molossus_molossus",0.290167,0.00246811,0.00300224,2110,744.75,0.171475,19,39,99570400,35046300,1000,0.0474196
"Miniopterus_natalensis",0.111291,0.0021258,0.00668715,2113.75,740,0.1947,20,36,96293400,33746900,2500,0.0463988
"Eptesicus_fuscus",0.197807,0.00230003,0.00405301,2117.25,738,0.116358,4,12,21832900,7621290,1000,0.0105823
"Pipistrellus_kuhlii",0.135247,0.000337297,0.000884839,2108.25,748,0.664199,53,28,80455300,28231600,100,0.0381086
"Myotis_brandtii",0.135369,0.00352249,0.00910346,2114.5,739.75,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.0815866,0.00138897,0.00595454,2115,739.75,0.209892,3,5,7999950,2798540,1000,0.00485649
"Myotis_davidii",0.181064,0.001236,0.0023819,2115.75,738.25,0.174505,3,6,19842500,6925250,500,0.00980151
"Myotis_myotis",0.0963469,0.000774466,0.00280961,2115,739.25,0.814412,7,3,11188800,3905270,250,0.0061503
"Hipposideros_armiger",0.0735396,0.00382203,0.0182017,2112.25,739.75,0.582715,20,12,67813400,23709500,5000,0.0332282
"Rhinolophus_ferrumequinum",0.105293,0.00423749,0.0140003,2114.25,735.5,0.464077,8,6,23243700,8090130,5000,0.0122756
"Rhinolophus_sinicus",0.0816533,0.00432633,0.0183727,2116.75,734,0.478326,11,8,28098100,9774570,5000,0.0132901
"Rousettus_aegyptiacus",0.0117894,6.48942e-05,0.00191972,2112.5,736.75,0.316075,19,21,42393800,14810100,500,0.0218276
"Pteropus_alecto",0.0663911,0.00176373,0.00932355,2108.5,740,0.234019,2,3,4199870,1474270,2500,0.00268413
"Pteropus_giganteus",0.0833308,0.00272952,0.0114972,2108.25,740,Inf,1,0,1669540,586476,2500,0.00140844
"Pteropus_vampyrus",0.102149,0.00306859,0.010543,2108.5,740,Inf,2,0,1319660,463446,2500,0.0014088
