"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.276681,7648.72,9686.23,0.00211625,0.0007415,0.801864,155,68,215.075,75.6604,1000,0.101852
"Pteronotus_parnellii",0.153282,4955.21,11356.4,0.00211575,0.00074325,1.01512,49,17,79.623,28.0421,500,0.0379412
"Desmodus_rotundus",0.4203,3961.21,3356.87,0.0021085,0.000751,0.560441,30,19,49.9122,17.7161,500,0.0236955
"Phyllostomus_discolor",1.20051,2104.35,619.956,0.0021135,0.0007475,0.707021,12,6,19.5124,6.89783,100,0.0105002
"Phyllostomus_hastatus",Inf,1581.58,0,0.0021135,0.00074775,0.432609,11,9,18.1848,6.43657,100,0.00928619
"Artibeus_jamaicensis",4.03212,3415.77,299.905,0.00211075,0.00074725,0.995368,31,11,40.2079,14.2012,250,0.0190481
"Sturnira_hondurensis",0.409731,2482.92,2146.71,0.0021115,0.000748,0.761242,28,13,41.3712,14.622,250,0.0201251
"Molossus_molossus",0.257344,7163.89,9777.9,0.00211675,0.0007435,1.08937,81,26,99.439,34.7714,1000,0.0474196
"Miniopterus_natalensis",0.460327,22483.6,17023.5,0.002121,0.00073925,0.467281,51,38,98.2255,34.1992,2500,0.0463988
"Eptesicus_fuscus",0.264276,10152.3,13416.4,0.002121,0.00074075,0.666674,21,11,21.883,7.64175,1000,0.0105823
"Pipistrellus_kuhlii",0.104764,977.654,3293.76,0.002115,0.0007465,0.711571,85,42,79.8729,28.0833,100,0.0381086
"Myotis_brandtii",0.29275,13098,15651.5,0.0021175,0.00074075,0,0,1,2.12597,0.743713,5000,0.00352876
"Myotis_lucifugus",0.295364,7719.01,9128.79,0.00211775,0.00073975,0.233021,2,3,9.56539,3.3434,1000,0.00485649
"Myotis_davidii",0.184953,3768.82,7125.77,0.002119,0.000741,0.52471,12,8,20.1297,7.04149,500,0.00980151
"Myotis_myotis",0.509414,2262.61,1553.2,0.002119,0.000741,1.22401,14,4,12.3993,4.33624,250,0.0061503
"Hipposideros_armiger",0.376713,42858.8,39511.1,0.00212,0.00073625,0.950268,30,11,70.3685,24.5186,5000,0.0332282
"Rhinolophus_ferrumequinum",0.473843,51375.8,38096.1,0.00211675,0.00074375,1.5192,13,3,24.5009,8.58967,5000,0.0122756
"Rhinolophus_sinicus",0.405037,50581.3,43856.6,0.00211425,0.0007425,0.52552,12,8,27.6792,9.69731,5000,0.0132901
"Rousettus_aegyptiacus",0.2869,4775.02,5880.32,0.00211075,0.00074575,0.911974,31,12,45.2027,15.9575,500,0.0218276
"Pteropus_alecto",0.361386,26820.3,26227.1,0.00211025,0.00074575,0.117798,1,3,5.45922,1.92926,2500,0.00268413
"Pteropus_giganteus",0.24508,20831.8,30042.1,0.00211,0.00074575,0.706828,2,1,0.913688,0.32291,2500,0.00140844
"Pteropus_vampyrus",0.322078,21293.8,23356.4,0.00211025,0.0007455,0.176706,2,4,2.2388,0.791218,2500,0.0014088
