"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.10556,0.0011319,0.00373884,2128.75,742.25,0.200781,45,78,216826000,75460000,1000,0.101852
"Pteronotus_parnellii",0.105459,0.000538747,0.00177615,2132,741.25,0.361672,25,24,74212100,25766800,500,0.0379412
"Desmodus_rotundus",0.0976728,0.00118792,0.00421559,2133.5,739.5,0.300994,20,23,50347300,17427400,500,0.0236955
"Phyllostomus_discolor",Inf,0.000174101,0,2133,741.25,0.865525,15,6,22049000,7633580,100,0.0105002
"Phyllostomus_hastatus",0.91179,0.000242458,9.196e-05,2134.75,738.25,0.518688,9,6,19290700,6670560,100,0.00928619
"Artibeus_jamaicensis",1.5627,0.000659398,0.000147882,2125.75,745,0.968816,25,9,39715900,13851900,250,0.0190481
"Sturnira_hondurensis",0.631114,0.00105471,0.000584238,2126.75,743.5,0.673394,27,14,42698800,14909000,250,0.0201251
"Molossus_molossus",0.224195,0.00146701,0.00227402,2131.5,740.75,0.204342,20,34,100472000,34902300,1000,0.0474196
"Miniopterus_natalensis",0.113844,0.00258228,0.00789704,2131.25,742,0.260697,18,24,89081500,30964400,2500,0.0463988
"Eptesicus_fuscus",0.293624,0.00220322,0.00260916,2131,741,0.396969,8,7,22497500,7814450,1000,0.0105823
"Pipistrellus_kuhlii",0.244491,0.000283387,0.00040639,2127,745.75,0.3704,33,31,74601500,25957700,100,0.0381086
"Myotis_brandtii",0.173829,0.00291984,0.00584688,2129.5,741.25,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.169416,0.00131718,0.00270749,2130,741.75,0.208758,3,5,9764650,3397420,1000,0.00485649
"Myotis_davidii",0.0961964,0.000635657,0.00229982,2130.5,741.5,0.58034,5,3,18501400,6442250,500,0.00980151
"Myotis_myotis",0.505218,0.00053875,0.000370933,2130.25,741,0.557117,8,5,12249700,4265310,250,0.0061503
"Hipposideros_armiger",0.118993,0.00502847,0.0145877,2135,737,0.658396,19,10,70754000,24518000,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0985293,0.00483984,0.0170379,2132,739.5,0.397102,8,7,23163500,8048490,5000,0.0122756
"Rhinolophus_sinicus",0.116418,0.00460806,0.0137451,2131,740,0.496118,10,7,27121300,9418760,5000,0.0132901
"Rousettus_aegyptiacus",0.101675,0.000865313,0.00297178,2134.25,745.25,0.367824,19,18,45101000,15716100,500,0.0218276
"Pteropus_alecto",0.123042,0.00345572,0.00978359,2131.5,742.5,0.348346,1,1,2935080,1022420,2500,0.00268413
"Pteropus_giganteus",0.105597,0.00292798,0.00965887,2131.5,742.5,Inf,1,0,253648,88357.5,2500,0.00140844
"Pteropus_vampyrus",0.135596,0.00314122,0.0080698,2131.5,742.5,NA,NA,NA,NA,NA,2500,0.0014088
