"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.299967,11029,12818.5,0.00212325,0.00074025,0.662079,150,79,214.71,74.8681,1000,0.101852
"Pteronotus_parnellii",0.161791,3652.93,7821.94,0.00212375,0.00073575,0.667725,56,29,80.5091,27.8389,500,0.0379412
"Desmodus_rotundus",0.460455,4689.42,3528.29,0.002123,0.0007355,0.449577,26,20,49.3223,17.057,500,0.0236955
"Phyllostomus_discolor",7.47779,1710.53,80.2399,0.002121,0.000744,0.788415,18,8,22.2241,7.78746,100,0.0105002
"Phyllostomus_hastatus",Inf,1055.06,0,0.002123,0.00074175,0.850571,17,7,19.5431,6.84467,100,0.00928619
"Artibeus_jamaicensis",0.27552,2812.81,3597.05,0.002118,0.00074625,0.879415,25,10,38.2694,13.4619,250,0.0190481
"Sturnira_hondurensis",0.217512,1897.36,3039.86,0.00212275,0.00073975,0.78838,36,16,41.4107,14.5099,250,0.0201251
"Molossus_molossus",0.271031,10818.5,13883.4,0.00212325,0.0007385,0.827842,76,32,99.3725,34.6378,1000,0.0474196
"Miniopterus_natalensis",0.263905,16944.2,22282.5,0.0021265,0.000738,0.86136,72,29,97.0442,33.6682,2500,0.0463988
"Eptesicus_fuscus",0.192179,10144.6,18393.5,0.002123,0.00073975,1.16015,30,9,22.1684,7.71559,1000,0.0105823
"Pipistrellus_kuhlii",0.199568,1187.83,2079.43,0.002121,0.000741,0.94514,92,34,80.29,28.0446,100,0.0381086
"Myotis_brandtii",0.344129,23706.9,23772.3,0.0021285,0.0007345,Inf,1,0,1.81774,0.627263,5000,0.00352876
"Myotis_lucifugus",0.293544,12830.4,15117.6,0.0021265,0.0007355,0.9215,8,3,10.2978,3.55855,1000,0.00485649
"Myotis_davidii",0.189798,6296.45,11449.1,0.00212825,0.0007345,0.499178,13,9,20.3339,7.02707,500,0.00980151
"Myotis_myotis",0.836444,4049.02,1677.95,0.00212475,0.0007365,2.25178,13,2,12.0507,4.17469,250,0.0061503
"Hipposideros_armiger",0.30134,40845.1,47489.6,0.00211425,0.00074075,0.929272,24,9,68.1815,23.7597,5000,0.0332282
"Rhinolophus_ferrumequinum",0.303795,39470.2,45223.5,0.0021195,0.00073775,1.3034,15,4,22.7012,7.89035,5000,0.0122756
"Rhinolophus_sinicus",0.408473,38866.3,33278.4,0.00211725,0.0007405,1.10269,19,6,27.3158,9.51185,5000,0.0132901
"Rousettus_aegyptiacus",0.237048,6127.27,9034.55,0.00212075,0.00074125,0.740041,34,16,45.5753,15.8718,500,0.0218276
"Pteropus_alecto",0.266384,18689,24544.5,0.0021195,0.0007415,0.174714,2,4,4.81587,1.6828,2500,0.00268413
"Pteropus_giganteus",0.334097,22748,23804.4,0.0021195,0.000741,Inf,2,0,2.10405,0.736426,2500,0.00140844
"Pteropus_vampyrus",0.379364,23987.3,22116.1,0.00211925,0.00074125,Inf,2,0,2.44719,0.856683,2500,0.0014088
