"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.19321,0.00219351,0.0038659,2134.25,726.75,0.195056,39,68,215855000,73411700,1000,0.101852
"Pteronotus_parnellii",0.296926,0.00155121,0.00177875,2133.75,726.5,0.340416,31,31,80634800,27449400,500,0.0379412
"Desmodus_rotundus",0.0722103,0.000755733,0.0035604,2137,727,0.339698,13,13,50131700,17029600,500,0.0236955
"Phyllostomus_discolor",0.400675,0.000778504,0.000660455,2138.75,727,0.533271,11,7,22169600,7523350,100,0.0105002
"Phyllostomus_hastatus",1.10803,0.000509772,0.000156153,2139,726,0.636187,15,8,19574700,6641680,100,0.00928619
"Artibeus_jamaicensis",0.126017,0.000539645,0.00146358,2133,729,0.340556,21,21,40418600,13764800,250,0.0190481
"Sturnira_hondurensis",0.367834,0.000730333,0.000678729,2134.75,729.75,0.642953,34,18,42211900,14368400,250,0.0201251
"Molossus_molossus",0.224494,0.0027264,0.0041335,2136,727,0.185038,24,44,101276000,34356600,1000,0.0474196
"Miniopterus_natalensis",0.0945294,0.00304166,0.0109212,2138.25,725.75,0.194943,23,40,97283800,32982300,2500,0.0463988
"Eptesicus_fuscus",0.199392,0.00291772,0.0049678,2138.5,726,0.260826,10,13,21987600,7455410,1000,0.0105823
"Pipistrellus_kuhlii",0.189769,0.000500514,0.000893664,2137.5,724.25,0.468152,47,34,80986800,27427300,100,0.0381086
"Myotis_brandtii",0.109251,0.00355516,0.0110502,2136.5,725.5,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.126757,0.00168282,0.00450713,2137,725.5,0.0848806,1,4,10034500,3406950,1000,0.00485649
"Myotis_davidii",0.135803,0.000566701,0.00141605,2136.5,725,0.62221,11,6,20636300,7003700,500,0.00980151
"Myotis_myotis",0.356332,0.000807896,0.000768665,2136.25,724.25,0.339752,9,9,12224400,4153270,250,0.0061503
"Hipposideros_armiger",0.117286,0.00560332,0.0161746,2137,723.5,0.735597,26,12,69333400,23539100,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0691778,0.00470593,0.0229086,2141,721,0.307086,10,11,25085100,8473610,5000,0.0122756
"Rhinolophus_sinicus",0.0916401,0.00559156,0.0206049,2140.25,722.75,0.270238,8,10,28423000,9601210,5000,0.0132901
"Rousettus_aegyptiacus",0.571919,0.00118244,0.000702814,2133.5,725.25,0.358046,19,18,42463700,14403700,500,0.0218276
"Pteropus_alecto",0.176476,0.00434177,0.00833721,2135.75,723.75,Inf,3,0,5447610,1847560,2500,0.00268413
"Pteropus_giganteus",0.177837,0.00360053,0.00686403,2136.25,724.25,0.339068,1,1,1898900,643858,2500,0.00140844
"Pteropus_vampyrus",0.105909,0.0025783,0.00824972,2135.75,723.75,Inf,1,0,2781070,942974,2500,0.0014088
