"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.131357,0.00201818,0.0053708,2119.75,741,0.190117,43,79,215212000,75170100,1000,0.101852
"Pteronotus_parnellii",0.157199,0.00154759,0.00343642,2119.25,739.75,0.227054,28,43,78726700,27451200,500,0.0379412
"Desmodus_rotundus",0.431081,0.00163513,0.00133126,2117,743,0.350955,19,19,49977500,17539800,500,0.0236955
"Phyllostomus_discolor",Inf,0.000157686,0,2114.75,744.75,0.705558,14,7,19980700,7048790,100,0.0105002
"Phyllostomus_hastatus",Inf,0.00018994,0,2116.25,743.75,0.527664,9,6,19067500,6707490,100,0.00928619
"Artibeus_jamaicensis",0.0962325,0.000180479,0.000658922,2114.75,743,0.491395,21,15,38843500,13633900,250,0.0190481
"Sturnira_hondurensis",1.11403,0.00117113,0.00036981,2114.25,743.75,0.404463,15,13,41280400,14470200,250,0.0201251
"Molossus_molossus",0.137766,0.00128728,0.00325932,2120.75,739.75,0.221346,19,30,99157400,34654900,1000,0.0474196
"Miniopterus_natalensis",0.0957525,0.00347927,0.0126878,2119.25,740,0.321758,23,25,97310300,34033000,2500,0.0463988
"Eptesicus_fuscus",0.167218,0.00199528,0.00419347,2117,744,0.117355,4,12,21841400,7689590,1000,0.0105823
"Pipistrellus_kuhlii",0.240544,0.000103862,0.000152068,2116.75,745.5,0.508018,49,34,80538500,28390000,100,0.0381086
"Myotis_brandtii",0.127178,0.00365496,0.0100929,2118.5,744,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.24806,0.0018491,0.00261963,2118.5,744.5,0.050172,1,7,10122700,3555120,1000,0.00485649
"Myotis_davidii",0.199313,0.00137517,0.00242996,2116.75,745.5,0.205152,7,12,19440500,6837030,500,0.00980151
"Myotis_myotis",0.0831216,0.000172662,0.000729847,2117.5,744,0.527151,6,4,12115400,4257760,250,0.0061503
"Hipposideros_armiger",0.120723,0.00513532,0.0148854,2119,741.5,0.308246,15,17,65785700,22981900,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0607204,0.00342974,0.0197248,2120.5,740.5,0.523471,9,6,24202200,8446080,5000,0.0122756
"Rhinolophus_sinicus",0.125225,0.00513356,0.0143304,2119.75,741,0.582015,10,6,23110900,8070540,5000,0.0132901
"Rousettus_aegyptiacus",0.0774223,0.000550268,0.0024802,2122,740.5,0.182072,12,23,46138200,16100900,500,0.0218276
"Pteropus_alecto",0.155881,0.00256487,0.00572552,2123.75,739,0.116054,1,3,5605900,1951760,2500,0.00268413
"Pteropus_giganteus",0.125639,0.00316183,0.00874799,2124.5,738.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.116571,0.00282345,0.00841178,2125,738,0.347611,1,1,2596140,902447,2500,0.0014088
