"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.138146,0.00182986,0.00454746,2129.25,731,0.177495,47,91,215313000,73994700,1000,0.101852
"Pteronotus_parnellii",0.0532297,0.000619262,0.004005,2128.5,732.75,0.409748,31,26,79902700,27459300,500,0.0379412
"Desmodus_rotundus",0.250773,0.000747846,0.00103029,2126,734.5,0.306995,16,18,48691900,16816700,500,0.0236955
"Phyllostomus_discolor",0.0160881,5.0512e-05,0.0010952,2120,739.5,0.383282,11,10,21720200,7568140,100,0.0105002
"Phyllostomus_hastatus",Inf,8.03736e-05,0,2122,738.25,0.637712,11,6,19185200,6673420,100,0.00928619
"Artibeus_jamaicensis",0.0431054,0.000138922,0.00111066,2126.25,732.75,0.610732,23,13,39852800,13757000,250,0.0190481
"Sturnira_hondurensis",0.0506775,0.000200085,0.00135956,2125.75,732,0.589848,24,14,42746500,14708100,250,0.0201251
"Molossus_molossus",0.163123,0.00149511,0.00316142,2128,734,0.163525,20,42,96415000,33109100,1000,0.0474196
"Miniopterus_natalensis",0.0684131,0.0020936,0.0104891,2132,730.75,0.114302,9,27,98397700,33741200,2500,0.0463988
"Eptesicus_fuscus",0.317823,0.00242891,0.00262769,2126.75,731.25,0.196408,8,14,21958800,7547540,1000,0.0105823
"Pipistrellus_kuhlii",0.106648,0.000211495,0.000684348,2127,734,0.352826,45,44,78718200,27156700,100,0.0381086
"Myotis_brandtii",0.131834,0.00252316,0.00660972,2128.25,735,0,0,1,4820490,1664780,5000,0.00352876
"Myotis_lucifugus",1.12529,0.00338373,0.00103812,2128.25,734.75,0.345314,3,3,8347240,2882420,1000,0.00485649
"Myotis_davidii",0.127493,0.000758675,0.00205723,2127.5,735.5,0.403265,7,6,19686400,6804720,500,0.00980151
"Myotis_myotis",0.200706,0.000673283,0.00115929,2129,735.75,0.623218,9,5,12908900,4469470,250,0.0061503
"Hipposideros_armiger",0.0985989,0.00579559,0.0202309,2127.5,732.25,0.658261,23,12,67826700,23294500,5000,0.0332282
"Rhinolophus_ferrumequinum",0.132448,0.0055113,0.0142284,2130.5,728.5,0.796798,14,6,25653000,8760110,5000,0.0122756
"Rhinolophus_sinicus",0.124405,0.00483638,0.013284,2131.25,728.25,0.740525,13,6,28169600,9627810,5000,0.0132901
"Rousettus_aegyptiacus",0.841626,0.000984662,0.000399439,2134.5,728.75,0.273806,16,20,45780200,15668600,500,0.0218276
"Pteropus_alecto",0.150441,0.00264245,0.00600032,2134,729,0.113811,1,3,3830120,1307730,2500,0.00268413
"Pteropus_giganteus",0.126389,0.00326666,0.00882431,2133.75,728.5,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.0925256,0.00285367,0.01053,2133.75,728.5,0,0,1,1544840,527434,2500,0.0014088
