"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.133466,0.00160918,0.00423218,2111,741,0.339459,61,63,213674000,74911600,1000,0.101852
"Pteronotus_parnellii",0.186594,0.00106088,0.00201835,2107.75,748.25,0.501419,34,24,80051800,28333800,500,0.0379412
"Desmodus_rotundus",0.502911,0.00130345,0.000914502,2114.25,746,0.353126,17,17,49514600,17484900,500,0.0236955
"Phyllostomus_discolor",0.0583308,8.55599e-05,0.000521662,2110.25,750.5,0.226282,7,11,21374400,7600450,100,0.0105002
"Phyllostomus_hastatus",Inf,0.000429819,0,2107,754.75,0.76494,15,7,19278100,6881740,100,0.00928619
"Artibeus_jamaicensis",0.105859,0.000504191,0.00167124,2116.75,742.75,0.398086,17,15,39443500,13854600,250,0.0190481
"Sturnira_hondurensis",0.0565307,0.000239954,0.00149547,2116,745.5,0.351802,15,15,42408800,14919500,250,0.0201251
"Molossus_molossus",0.152813,0.00188102,0.00429901,2115.25,738.75,0.192172,22,40,96710000,33790900,1000,0.0474196
"Miniopterus_natalensis",0.086384,0.00275062,0.0111091,2116.75,738.5,0.250682,23,32,96843700,33776600,2500,0.0463988
"Eptesicus_fuscus",0.157141,0.00134686,0.0029893,2116.75,738.25,0.221826,7,11,21204200,7391440,1000,0.0105823
"Pipistrellus_kuhlii",0.0556083,0.000157742,0.00099431,2114,741,0.563925,50,31,76992800,26919300,100,0.0381086
"Myotis_brandtii",0.100094,0.00232266,0.00807643,2117.5,737,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.177205,0.00214124,0.00420366,2118.5,737,0.278417,4,5,7145470,2486780,1000,0.00485649
"Myotis_davidii",0.188454,0.00120828,0.00223665,2116.25,738.25,0.522289,9,6,20019600,6970680,500,0.00980151
"Myotis_myotis",0.327081,0.00120011,0.00127546,2118,736.25,0.154664,4,9,12569500,4374100,250,0.0061503
"Hipposideros_armiger",0.133898,0.00529272,0.0138397,2114.25,740.25,0.493333,24,17,70198000,24530300,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0810397,0.00416054,0.0180274,2115.25,742.75,0.481298,11,8,23852500,8349210,5000,0.0122756
"Rhinolophus_sinicus",0.109491,0.0050726,0.0162277,2115.5,741,0.524912,12,8,25608100,8961340,5000,0.0132901
"Rousettus_aegyptiacus",0.340144,0.000821783,0.000846824,2115.5,741.5,0.956326,30,11,44917900,15750600,500,0.0218276
"Pteropus_alecto",0.128332,0.00288161,0.00787189,2112.25,740.5,0.350702,3,3,3344390,1172890,2500,0.00268413
"Pteropus_giganteus",0.155089,0.00314525,0.0071024,2113,740,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.121663,0.00280554,0.00806948,2113.25,739.5,Inf,1,0,405696,142080,2500,0.0014088
