"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.161645,0.00130723,0.00277807,2134.5,733.25,0.244227,52,73,217087000,74429800,1000,0.101852
"Pteronotus_parnellii",0.396771,0.0011517,0.000995067,2136.75,732.5,0.304629,24,27,77050300,26405700,500,0.0379412
"Desmodus_rotundus",0.160132,0.000500856,0.00107126,2136.5,731.75,0.415632,17,14,49114500,16811200,500,0.0236955
"Phyllostomus_discolor",1.94682,7.79253e-05,1.36939e-05,2134.5,730.25,1.25563,11,3,22043800,7548780,100,0.0105002
"Phyllostomus_hastatus",0.168518,0.000485465,0.000992839,2129.75,734,0.31716,12,13,19061400,6549320,100,0.00928619
"Artibeus_jamaicensis",0.059495,0.000191334,0.00109808,2136.5,729.5,0.486495,20,14,39090600,13312200,250,0.0190481
"Sturnira_hondurensis",0.0618542,0.000239918,0.00132287,2137.5,729,0.292206,12,14,41075600,14003000,250,0.0201251
"Molossus_molossus",0.23793,0.00210069,0.00300673,2136.25,727.5,0.265351,28,36,99225100,33852200,1000,0.0474196
"Miniopterus_natalensis",0.0964464,0.00321356,0.0113731,2135.75,729,0.259564,22,29,88345800,30227700,2500,0.0463988
"Eptesicus_fuscus",0.204064,0.00141595,0.0023818,2132.5,732,0.15045,7,16,22103100,7600940,1000,0.0105823
"Pipistrellus_kuhlii",0.00325436,4.6987e-06,0.000499475,2128.25,736.25,0.480502,50,36,80880200,27981400,100,0.0381086
"Myotis_brandtii",0.151624,0.00348625,0.00789071,2132.25,731.75,Inf,1,0,7219360,2475280,5000,0.00352876
"Myotis_lucifugus",0.230973,0.00238047,0.00353126,2132.75,730.75,0.342839,3,3,9874010,3385200,1000,0.00485649
"Myotis_davidii",0.245265,0.00116133,0.00162647,2131,732,0.171349,5,10,20661300,7080560,500,0.00980151
"Myotis_myotis",0.200654,0.00105423,0.00180493,2131.5,732.25,0.300097,7,8,12909000,4427370,250,0.0061503
"Hipposideros_armiger",0.147266,0.00563032,0.0130932,2135.25,731.25,0.890746,26,10,68176100,23356800,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0802558,0.00409509,0.0173308,2137.5,726,0.739154,13,6,25540900,8713210,5000,0.0122756
"Rhinolophus_sinicus",0.108891,0.00446257,0.0139241,2139,726.75,0.639428,15,8,27915200,9519880,5000,0.0132901
"Rousettus_aegyptiacus",0.789784,0.00167485,0.000720277,2137.5,726,0.139322,9,22,42924800,14618700,500,0.0218276
"Pteropus_alecto",0.131552,0.00236385,0.00612781,2135.5,728.25,Inf,1,0,181496,61922.5,2500,0.00268413
"Pteropus_giganteus",0.065359,0.00192549,0.0100512,2135.25,728.5,Inf,1,0,1125410,383788,2500,0.00140844
"Pteropus_vampyrus",0.122561,0.00181014,0.00503952,2135,728.5,0.341033,1,1,2511330,856444,2500,0.0014088
