"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.117627,0.0018838,0.00547226,2132.75,728.75,0.321713,55,59,216256000,74632200,1000,0.101852
"Pteronotus_parnellii",0.26099,0.000606767,0.000804246,2123.25,734.5,0.271528,29,37,80254200,27802600,500,0.0379412
"Desmodus_rotundus",0.19265,0.00188321,0.00341921,2117.75,740.75,0.279871,20,25,50131900,17538100,500,0.0236955
"Phyllostomus_discolor",0.0553842,1.86992e-05,0.000117207,2123,737,0.46352,12,9,22230900,7728350,100,0.0105002
"Phyllostomus_hastatus",0.0142551,5.34056e-05,0.00129985,2122.75,736.5,0.303694,7,8,19205200,6665710,100,0.00928619
"Artibeus_jamaicensis",0.1426,0.000373929,0.000908738,2124.5,736.25,0.694565,20,10,39325600,13657100,250,0.0190481
"Sturnira_hondurensis",Inf,0.000957788,0,2124,739.75,0.400499,23,20,42426400,14775400,250,0.0201251
"Molossus_molossus",0.0883609,0.00120988,0.00476557,2119,737.5,0.192071,21,38,97078300,33740300,1000,0.0474196
"Miniopterus_natalensis",0.0779029,0.00234851,0.0104395,2122.5,735,0.243139,21,30,98333000,34155000,2500,0.0463988
"Eptesicus_fuscus",0.330154,0.00222855,0.00236176,2119.25,741.5,0.214917,8,13,20618300,7200760,1000,0.0105823
"Pipistrellus_kuhlii",Inf,0.00011327,0,2117.5,750.5,0.569746,55,34,80671100,28412900,100,0.0381086
"Myotis_brandtii",0.136043,0.00336426,0.00860522,2123,738.75,Inf,1,0,416059,144942,5000,0.00352876
"Myotis_lucifugus",0.049204,0.000621088,0.00439186,2123.25,738.75,0.348022,2,2,9807300,3413150,1000,0.00485649
"Myotis_davidii",0.580535,0.00201998,0.00121037,2123,738.5,0.139102,4,10,19534400,6793180,500,0.00980151
"Myotis_myotis",0.69584,0.000468805,0.000233402,2124.5,736,0.346969,8,8,12773400,4431990,250,0.0061503
"Hipposideros_armiger",0.0944782,0.00537949,0.0196131,2127.25,732.75,0.540073,25,16,70426300,24342600,5000,0.0332282
"Rhinolophus_ferrumequinum",0.103731,0.00497003,0.0166705,2123.25,738.75,0.385324,10,9,25418900,8815080,5000,0.0122756
"Rhinolophus_sinicus",0.090818,0.00494581,0.0188429,2124.25,735,0.230529,6,9,22397200,7744780,5000,0.0132901
"Rousettus_aegyptiacus",0.0582377,0.000656409,0.00391869,2121.25,737.5,0.32718,17,18,46011000,15939400,500,0.0218276
"Pteropus_alecto",0.0862218,0.00258947,0.0103534,2126.25,733,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.112178,0.00302184,0.00928329,2127,733,0.344649,1,1,2160830,744728,2500,0.00140844
"Pteropus_vampyrus",0.0950656,0.00234559,0.00850388,2126.75,733,NA,NA,NA,NA,NA,2500,0.0014088
