"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.294449,10620.1,12447,0.00212475,0.00073325,0.606781,127,72,212.38,73.0591,1000,0.101852
"Pteronotus_parnellii",0.239099,5511.52,8039.78,0.00212025,0.0007395,0.834723,72,30,78.5554,27.3217,500,0.0379412
"Desmodus_rotundus",0.663433,10043.8,5286.37,0.0021235,0.0007415,0.712712,41,20,48.2988,16.7918,500,0.0236955
"Phyllostomus_discolor",1.52682,862.202,197.893,0.0021195,0.00074275,0.53729,20,13,22.1711,7.74299,100,0.0105002
"Phyllostomus_hastatus",20.2805,2358.22,40.5405,0.0021225,0.00074,0.783519,18,8,18.9624,6.6033,100,0.00928619
"Artibeus_jamaicensis",0.516654,1813.17,1221.45,0.002124,0.00073925,0.582868,32,19,38.9398,13.4762,250,0.0190481
"Sturnira_hondurensis",0.282217,1673.3,2071.9,0.0021205,0.000741,0.363398,23,22,41.0462,14.2676,250,0.0201251
"Molossus_molossus",0.217859,7122.59,11238.5,0.00212725,0.00073125,0.603653,79,45,100.539,34.5707,1000,0.0474196
"Miniopterus_natalensis",0.278629,15100.4,18765.8,0.0021205,0.00073425,0.832019,70,29,94.0834,32.43,2500,0.0463988
"Eptesicus_fuscus",0.385725,4187.71,3746.78,0.0021225,0.0007325,0.90971,37,14,22.1718,7.63187,1000,0.0105823
"Pipistrellus_kuhlii",Inf,97.4577,0,0.00212075,0.000737,0.835904,89,37,77.0989,26.7927,100,0.0381086
"Myotis_brandtii",0.454665,19610.4,14849.2,0.00212475,0.0007315,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.275185,13711.5,17158.1,0.00212425,0.0007315,0.344328,1,1,8.21516,2.82871,1000,0.00485649
"Myotis_davidii",0.252647,3301.93,4501.91,0.0021265,0.0007325,1.46446,17,4,19.4211,6.69209,500,0.00980151
"Myotis_myotis",0.281647,4354.59,5337.38,0.0021255,0.00073375,0.517717,12,8,10.953,3.78035,250,0.0061503
"Hipposideros_armiger",0.294766,19727.7,23108.2,0.0021215,0.0007325,0.607574,37,21,70.0202,24.1457,5000,0.0332282
"Rhinolophus_ferrumequinum",0.248442,35233.7,48406.5,0.002127,0.000726,0.888777,26,10,21.9166,7.49192,5000,0.0122756
"Rhinolophus_sinicus",0.200433,30333.2,51655.2,0.00212775,0.00072625,0.888267,26,10,27.5294,9.40518,5000,0.0132901
"Rousettus_aegyptiacus",0.290354,6713.02,7956.79,0.00212625,0.00073175,0.730388,38,18,46.2953,16.0169,500,0.0218276
"Pteropus_alecto",0.393038,13462.9,11913,0.00212125,0.00073775,1.21292,7,2,5.65147,1.95851,2500,0.00268413
"Pteropus_giganteus",0.328398,15235.3,16151.6,0.0021205,0.00073825,0.174075,1,2,2.2753,0.792142,2500,0.00140844
"Pteropus_vampyrus",0.25613,13669.7,18580.8,0.0021205,0.00073825,NA,NA,NA,NA,NA,2500,0.0014088
