"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop"
"Phyllostomus_discolor",0.703395,640.89,314.364,0.0212725,0.0073395,1.05822,298,97,222.2,76.5377,50
"Phyllostomus_hastatus",0.250412,1967.76,2707.69,0.02128,0.0073325,0.835555,233,96,183.951,63.3276,100
"Myotis_davidii",0.366153,9153.46,8616.86,0.0212837,0.00733625,0.987008,192,67,165.535,57.0145,500
"Myotis_myotis",0.491786,10542.2,7377.25,0.0212897,0.00732675,0.906937,116,44,96.7672,33.2889,1000
