"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop"
"Phyllostomus_discolor",0.271967,1108.9,1400.17,0.021313,0.007319,0.95468,217,78,221.626,76.0524,50
"Phyllostomus_hastatus",0.530978,928.768,601.431,0.0213145,0.00732875,0.967172,200,71,196.955,67.6236,100
"Myotis_davidii",0.319411,6361.29,6841.15,0.0213082,0.0073195,0.969574,178,63,190.821,65.4827,500
"Myotis_myotis",0.360113,8976.63,8548.43,0.021316,0.00731,0.714205,75,36,126.318,43.3043,1000
