"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop"
"Phyllostomus_discolor",0.128651,449.858,1200.27,0.0213077,0.007314,1.06704,274,88,217.574,74.5626,50
"Phyllostomus_hastatus",0.309732,1638.09,1816.86,0.021292,0.0073145,0.859858,223,89,191.439,65.6967,100
"Myotis_davidii",0.421157,7131.08,5797.78,0.0213112,0.00729725,0.878254,200,78,184.594,63.227,500
"Myotis_myotis",0.338038,13192.8,13379.7,0.021303,0.00730325,0.908965,69,26,120.643,41.3211,1000
